,ko,en,word_count,source,filepath,zipf,word,frequency,level
399,을,the weaker person in a contract,1,hanyang,한양 고급2,7.35,,,advanced
953,고,put in front of someone's name to show they've died - 'the late...' 故,1,kiip,KIIP Level 5 (new book 2016),7.17,,,advanced
641,들,Field,1,SNU,서울대 한국어 6A 교과서,6.96,들,2243.0,advanced
413,한,resentment[sorrow regret],1,ewha,Ewha Korean 5,6.91,한,2922.0,advanced
973,한,"deep resentment, sorrow",1,hanyang,한양대 고급1,6.91,한,2922.0,advanced
471,요,A sleeping mat,1,SNU,서울대 5B 한국어 교과서,6.74,요,4546.0,advanced
1468,로,Road,1,sungkyunkwan,성균관 어학 5급,6.71,,,advanced
627,다하다,"to finish, to fulfill",1,topik,TOPIK Advanced Vocabulary,6.69,다하다,1191.0,advanced
243,다하다,"to do, make",1,topik,New TOPIK II 필수어휘 Vocabulary for Levels 5 & 6,6.69,다하다,1191.0,advanced
379,면,"face, side, facet, aspect",1,topik,New TOPIK II 필수어휘 Vocabulary for Levels 5 & 6,6.64,면,3867.0,advanced
1357,면,"side, face",1,hanyang,한양대 고급1,6.64,면,3867.0,advanced
171,나들이,Trip,1,SNU,서울대 5B 한국어 교과서,6.57,나들이,4412.0,advanced
706,가면,mask,1,topik,New TOPIK II 필수어휘 Vocabulary for Levels 5 & 6,6.53,,,advanced
145,해로,Sea route,1,SNU,서울대 5B 한국어 교과서,6.46,,,advanced
359,면하다,"avoid, escape, get rid of",1,hanyang,한양대 고급1,6.45,면하다,2795.0,advanced
409,면하다,avoid/escape from (피하다),1,topik,한국어 TOPIK 어휘 고급 (50 days) advanced TOPIK vocab,6.45,면하다,2795.0,advanced
550,만,"full(year, month etc.)",1,SNU,서울대 한국어 5A,6.43,만,4835.0,advanced
1069,만,bay (coastal area) 灣,1,kiip,KIIP Level 5 (new book 2016),6.43,만,4835.0,advanced
2454,보고,Report,1,sungkyunkwan,성균관 어학 5급,6.42,보고,2341.0,advanced
161,기하다,"to aim for, to arrange a date",1,other,Korean Vocabulary Practice for Foreigners Advanced,6.39,,,advanced
652,인,Phosphorus,1,SNU,서울대 한국어 6A 교과서,6.32,인,2302.0,advanced
1140,잘다,To be small,1,SNU,서울대 5B 한국어 교과서,6.32,,,advanced
445,저가,"低價; low price, cheap price",1,other,토픽 어휘로 잡아라! [고급],6.31,,,advanced
1929,알,Egg,1,sungkyunkwan,성균관 어학 5급,6.31,알,1738.0,advanced
747,알,an egg (animal's egg),1,kiip,KIIP Level 5 (new book 2016),6.31,알,1738.0,advanced
635,112,법죄신고를 위한 전화번호,1,kiip,KIIP Level 5 (new book 2016),6.3,,,advanced
120,하자,"a flaw, a defect",1,topik,TOPIK Advanced Vocabulary,6.29,,,advanced
650,하자,flaw (결점/결함/단점),1,topik,한국어 TOPIK 어휘 고급 (50 days) advanced TOPIK vocab,6.29,,,advanced
305,하자,__ 없는 물건으로 보내 주세요.,1,topik,TOPIK Advanced Vocabulary,6.29,,,advanced
2239,여,Around,1,sungkyunkwan,성균관 어학 5급,6.28,여,3438.0,advanced
382,때,Dirt,1,SNU,서울대 5B 한국어 교과서,6.28,때,3944.0,advanced
848,어이가 없다,To be absured,2,SNU,서울대 5B 한국어 교과서,6.26,,,advanced
428,어이가 없다,"absurd, dumbfounded",2,hanyang,한양대 고급1,6.26,,,advanced
1466,시,City,1,sungkyunkwan,성균관 어학 5급,6.26,시,2129.0,advanced
930,중,buddhist monk (2),1,hanyang,한양대 고급1,6.19,중,39.0,advanced
278,들어주다,"to grant, acede to, comply with",1,topik,New TOPIK II 필수어휘 Vocabulary for Levels 5 & 6,6.17,들어주다,5172.0,advanced
1195,전,Korean Pancake,1,SNU,서울대 5B 한국어 교과서,6.14,전,548.0,advanced
513,주되다,"to be the main one, primary PASSIVE 主",1,kiip,KIIP Level 5 (new book 2016),6.13,,,advanced
404,주되다,"to be main, chief, principal",1,topik,TOPIK Advanced Vocabulary,6.13,,,advanced
1931,더하기,Addition,1,sungkyunkwan,성균관 어학 5급,6.12,,,advanced
642,더해지다,To be added,1,SNU,서울대 한국어 6A 교과서,6.1,,,advanced
634,전하다,"To convey, communicate",1,sungkyunkwan,성균관 어학 5급,6.07,전하다,615.0,advanced
1370,개다,to fold,1,topik,한국어 TOPIK 어휘 고급 (50 days) advanced TOPIK vocab,6.05,개다,4821.0,advanced
337,들이받다,"To run into, collide with",1,SNU,서울대 5B 한국어 교과서,6.05,,,advanced
145,개다,to fold,1,other,Korean Vocabulary Practice for Foreigners Advanced,6.05,개다,4821.0,advanced
146,개다,to mix,1,other,Korean Vocabulary Practice for Foreigners Advanced,6.05,개다,4821.0,advanced
182,애,child; anxiety,1,topik,New TOPIK II 필수어휘 Vocabulary for Levels 5 & 6,6.03,애,3285.0,advanced
909,날,"Blade, edge",1,sungkyunkwan,성균관 어학 5급,5.99,날,91.0,advanced
752,맞다,"To greet, welcome",1,sungkyunkwan,성균관 어학 5급,5.97,맞다,1227.0,advanced
847,맞다,To be right 2,1,SNU,서울대 5B 한국어 교과서,5.97,맞다,1227.0,advanced
640,걸다,"To wager, risk",1,sungkyunkwan,성균관 어학 5급,5.97,걸다,551.0,advanced
1095,줄다,Decrease,1,SNU,서울대 한국어 6A 교과서,5.97,줄다,2256.0,advanced
214,날다,to fly,1,topik,New TOPIK II 필수어휘 Vocabulary for Levels 5 & 6,5.96,날다,1765.0,advanced
1230,대,versus,1,hanyang,한양대 고급1,5.95,대,4983.0,advanced
272,애로,difficulty,1,topik,TOPIK Advanced Vocabulary,5.95,,,advanced
458,대,:,1,sungkyunkwan,성균관 어학 5급,5.95,대,4983.0,advanced
1237,애도하다,To mourn,1,sungkyunkwan,성균관 어학 5급,5.93,,,advanced
963,(-었/았)다 하면,"if you say this happened, then this happened as well without exception",2,hanyang,한양 고급2,5.93,,,advanced
307,대다,"to apply, to supply, to park or anchor, to compare, to indicate, to be on time for",1,other,Korean Vocabulary Practice for Foreigners Advanced,5.92,대다,556.0,advanced
46,대다,1) to lean (against) (2) to make an excuse (3) to pull up (to) (4) to pay,1,other,토픽 어휘로 잡아라! [고급],5.92,대다,556.0,advanced
311,대다,"put, set up, touch",1,hanyang,한양대 고급1,5.92,대다,556.0,advanced
1469,길,Street,1,sungkyunkwan,성균관 어학 5급,5.92,길,115.0,advanced
664,제3자,a third party (in law) 第3者,1,kiip,KIIP Level 5 (new book 2016),5.89,,,advanced
545,집다,To take up,1,sungkyunkwan,성균관 어학 5급,5.89,집다,1394.0,advanced
1104,후하다,"to be generous (to/with), liberal with",1,hanyang,한양 고급2,5.85,,,advanced
1515,길이 있다,To have a way,2,sungkyunkwan,성균관 어학 5급,5.85,,,advanced
136,말을 걸다,To start a conversation,2,SNU,서울대 한국어 6A 교과서,5.85,,,advanced
66,여가 시간,free time,2,SNU,서울대 한국어 5A,5.84,,,advanced
532,집을 지다,To build a house,2,SNU,서울대 5B 한국어 교과서,5.84,,,advanced
161,30여 개,30+,2,SNU,서울대 5B 한국어 교과서,5.83,,,advanced
904,게임,Game,1,sungkyunkwan,성균관 어학 5급,5.81,게임,682.0,advanced
994,이 분의 일,1/2 (one half) ,3,kiip,KIIP Level 5 (new book 2016),5.81,,,advanced
1063,5월 말,End of May,2,SNU,서울대 5B 한국어 교과서,5.79,,,advanced
1461,10위 안에 들다,Be ranked among the top 10,3,SNU,서울대 5B 한국어 교과서,5.79,,,advanced
258,근데,"by the way, but",1,hanyang,한양대 고급1,5.78,근데,426.0,advanced
59,이상,More than,1,SNU,서울대 한국어 6A 교과서,5.78,이상,2159.0,advanced
573,말끝,an opening of the mouth; an end of a word,1,topik,TOPIK Advanced Vocabulary,5.77,,,advanced
503,당신,you,1,hanyang,한양대 고급1,5.77,당신,148.0,advanced
2585,말끝,End of speech,1,sungkyunkwan,성균관 어학 5급,5.77,,,advanced
697,음,Yin,1,SNU,서울대 한국어 6A 교과서,5.76,음,1174.0,advanced
2424,기가 죽다,To be depressed,2,sungkyunkwan,성균관 어학 5급,5.75,,,advanced
387,세를 들다,to rent (a house) 貰를...,2,kiip,KIIP Level 5 (new book 2016),5.74,,,advanced
869,신,god,1,hanyang,한양대 고급1,5.74,신,1864.0,advanced
370,차로,"Roadway, driveway",1,SNU,서울대 5B 한국어 교과서,5.74,,,advanced
1748,하나일 수 있다,To be capable of doing,3,sungkyunkwan,성균관 어학 5급,5.73,,,advanced
901,사실,"fact, truth",1,topik,New TOPIK II 필수어휘 Vocabulary for Levels 5 & 6,5.73,사실,513.0,advanced
586,만원,"full, no vacancy",1,ewha,Ewha Korean 5,5.72,,,advanced
289,함,a box of wedding gifts,1,hanyang,한양대 고급1,5.71,,,advanced
689,성,Sex,1,SNU,서울대 5B 한국어 교과서,5.71,성,4104.0,advanced
700,손이 가다,to need a lot of care and maintenance,2,hanyang,한양 고급2,5.7,,,advanced
1467,구,District,1,sungkyunkwan,성균관 어학 5급,5.7,구,5268.0,advanced
665,남,other people; another person,1,topik,New TOPIK II 필수어휘 Vocabulary for Levels 5 & 6,5.69,남,4826.0,advanced
148,감사,formal inspection / audit 監査,1,kiip,KIIP Level 5 (new book 2016),5.68,감사,4369.0,advanced
1000,화하다,To be transformed into,1,sungkyunkwan,성균관 어학 5급,5.68,,,advanced
1252,성하다,intact (온전하다),1,topik,한국어 TOPIK 어휘 고급 (50 days) advanced TOPIK vocab,5.68,,,advanced
216,남다,"to remain, have left over",1,topik,New TOPIK II 필수어휘 Vocabulary for Levels 5 & 6,5.67,남다,210.0,advanced
623,말이 씨가 되다,be careful what you wish for,3,ewha,Ewha Korean 5,5.66,,,advanced
1184,이상적이다,"ideal, perfect",1,hanyang,한양대 고급1,5.65,,,advanced
825,여기다,"regard, consider",1,hanyang,한양대 고급1,5.65,여기다,827.0,advanced
1235,이상적이다,"ideal, perfect",1,hanyang,한양대 고급1,5.65,,,advanced
411,여기다,"To think, consider",1,sungkyunkwan,성균관 어학 5급,5.65,여기다,827.0,advanced
144,여기다,regard (간주하다/생각하다/인정하다),1,topik,한국어 TOPIK 어휘 고급 (50 days) advanced TOPIK vocab,5.65,여기다,827.0,advanced
354,애를 먹다,"to have a hard time, to have trouble",2,ewha,Ewha Korean 5,5.65,,,advanced
1156,가장,head of the household,1,hanyang,한양대 고급1,5.64,가장,2745.0,advanced
570,세상,world,1,topik,New TOPIK II 필수어휘 Vocabulary for Levels 5 & 6,5.64,세상,184.0,advanced
251,가장,head of a family,1,SNU,서울대 한국어 5A,5.64,가장,2745.0,advanced
305,달다,"to hang, to install, to add to, to record",1,other,Korean Vocabulary Practice for Foreigners Advanced,5.62,달다,5170.0,advanced
1296,참하다,"Gentle, pretty",1,SNU,서울대 5B 한국어 교과서,5.62,,,advanced
666,속하다,"belong to, be affiliated to",1,hanyang,한양대 고급1,5.62,속하다,1127.0,advanced
74,달다,"To hang, be sweet",1,SNU,서울대 5B 한국어 교과서,5.62,달다,5170.0,advanced
11,달다,"to put up, hoist up (커튼, 깃발 등)",1,kiip,KIIP Level 5 (new book 2016),5.62,달다,5170.0,advanced
1918,잡아주다,To hold,1,sungkyunkwan,성균관 어학 5급,5.62,,,advanced
69,달다,"1) to put on (2) to title, give a title (3) to install",1,other,토픽 어휘로 잡아라! [고급],5.62,달다,5170.0,advanced
839,속하다,"to belong to, be affiliated with 屬 (not 소...)",1,kiip,KIIP Level 5 (new book 2016),5.62,속하다,1127.0,advanced
930,달다,"To attach, hoist",1,SNU,서울대 5B 한국어 교과서,5.62,달다,5170.0,advanced
314,너와집,a wooden-roof house (middle class),1,kiip,KIIP Level 5 (new book 2016),5.62,,,advanced
306,달다,to weigh,1,other,Korean Vocabulary Practice for Foreigners Advanced,5.62,달다,5170.0,advanced
198,달하다,to reach (다다르다/이르다/도달하다/닿다),1,topik,한국어 TOPIK 어휘 고급 (50 days) advanced TOPIK vocab,5.61,,,advanced
1144,참들다,To listen,1,sungkyunkwan,성균관 어학 5급,5.61,,,advanced
197,달이다,to boil (a liquid) down (졸이다/조리다/졸다/졸아들다),1,topik,한국어 TOPIK 어휘 고급 (50 days) advanced TOPIK vocab,5.61,,,advanced
