고집	stubbornness
긍정적	positive, positivity
까다롭다	to be fastidious (picky)
꼼꼼하다	to be meticulous
냉정하다	to be cool-headed
단점	a weakness, bad point
매력	charm
무뚝뚝하다	to be brusque, blunt
부정적	negative, negativity
부주의	negligence
부지런하다	to be diligent
사교적	sociability, outgoing-ness
성실	trustworthiness
소심하다	to be timid
솔직하다	to be frank (honest)
순수	purity
씩씩하다	to be brave
알뜰	frugality
얌전하다	to be well-mannered
엄격	strictness
엉뚱하다	to be whimsical, unpredictable, off the wall
완벽	perfection
외향적	extrospective, extroversion
욕심	greed
의지	will, volition
이기적	selfishness
장점	a strength, good point
특이	unusual, interesting, unique
호기심	curiosity
활발하다	to be active, animated, brisk
