곧바로	immediately
그때	that moment (that time)
나날이	day by day
날	a day (ㄴ)
내내	throughout
넘다	1. to exceed a certain time, range, etc. 2. to climb
늘	always (ㄴ)
다가오다	1. to draw near 2. to come closer
단기	a short term
당분간	for a while
당시	that very day/ the day of
당일	the very day
도중	midway
동시	simultaneity
막	just (now in time)
밤낮	day and night
사흘	three days
새벽	dawn
순간	a moment
시기	time (not 시간)
시대	a time period
시절	days ("the days when")
어느새	already (어)
언제든지	anytime
언젠가	someday
엊그제	a couple days ago (like just yesterday)
연말	year-end
예전	the past
옛	old
오늘날	today
오랫동안	(for) a long time
오랜만	a long time
우선	first (of importance)
이미	already
이전	the moment before
이후	the moment after
일시적	temporarily
일시	date and time
재작년	the year before last
전날	the day before
정기	fixed period
종일	all day
종종	now and then
초	early
초	a second (of time)
초기	an early stage
초반	an early phase
최근	a recent date
최신	recentness
최초	being the first
평소	a usual day
한숨	some rest
해마다	annually
현대	modern times
