겪다	1. to experience difficulty 2. to get to know somebody
기혼	being married
노인	a senior citizen
늙다	to grow[get] old, age
독신	being single, bachelor (ㄷ)
미혼	being single, unmarried (ㅁ)
사망	death (ᄉ)
삶	life, living, existence
성숙	maturity
성장	growth, development
세월	time [the idea of time]
신혼	being a newly wed
아동	a child
연령	age (not 나이)
이별	parting (from someone)
이혼	divorce
인생	life (broader scope)
자라다	to grow, mature
젊은이	a young person (ㅈ)
청년	a young man, the young
청소년	a teenager
축복	a blessing
평생	a lifetime
