가스	gas
꽃병	a vase
끈	a lace, a tie
대문	a front door
도구	a tool
렌즈	contact lenses
바닥	a floor
베개	a pillow
봉지	1. bag 2. a package (a unit of measuring small objects or powdery substance in a bag)
비닐	plastic
사물	an object, thing
상자	1. a box 2. a unit of measuring things in a box
세제	a detergent
안방	a master bedroom
욕실	a bathroom
용품	goods
유리	glass
이불	a comforter/duvet
이어폰	earphones
자동	being automatic
장바구니	reusable shopping bag
주방	a kitchen
창가	a window (car, plane, train, bus)
통	a canister
풍선	a balloon
플라스틱	plastic
현관	the (front) door or  entrance
화분	a flowerpot
화장품	cosmetics
