겨우	barely, only[just]
괜히	1. pointlessly 2. without reason
규칙적	regular, regularity
깜빡	unconsciously
꾸준히	constantly
대하다	to treat (behave) towards sb like st
도대체	1. in the world 2. at all
도저히	not possibly
도전	a challenge
따르다	to comply with
뜻밖에	unexpectedly
몰래	secretly
무조건	1. unconditionally 2. without reason
바르다	to be proper
반드시	without fail
받아들이다	to accept
버릇	1. a habit 2. politeness to one's elders
빌다	to wish for (something for someone else)
상관	a care, correlation
선호	a preferance
설마	surely (when making a guess negative in nature)
소원	a wish
아마	probably
어쩌면	perhaps
어차피	anyway, anyhow, in any case
억지로	forcefully
역시	expectably
올바르다	to be correct (올)
왠지	for some reason
용감하다	to be brave
용기	courage, bravery
원하다	to want
위하다	to be for, to attend to
의심	a suspicion
의존	reliance
일부러	deliberately
입장	a position, situation, stance
적극적	active, activeness, enthusiasm
절대로	never
정성	a true heart, loving care
정직	honesty
제발	please
조심스럽다	to be careful
존경	respect
주의	caution
집중	focus
찬성	approval
최선	the best state
취하다	to be drunk
침착	calmness
탓	a fault
태도	an attitude
함부로	thoughtlessly, mindlessly, carelessly, without permission
희망	hope
