직장	career
취직	Employment, getting a job
대기업	a large enterprise
중소기업	small business
사업	business, enterprise
신입사원	a recruit, new employee
상사	one's superior
부하직원	subordinate
과장	manager
부장	the head , chief of a department
비서	a secretary
기회	opportunity
실력	skill (not 능..)
능력	competence, ability (not 실...)
노력	effort,hardwork,struggle
성공	success
실패	failure
적성	aptitude
이력서	Curriculum vitae
면접	job interview
보고서	report, paper (not 신..., 리...)
연봉	an annual income; a salary
연금	pension
회식	get-together dinner,
company dinner
실업자	unemployed person
해고	lay off
사직서	a letter of resignation
승진하다	to be promoted
결근하다	to be absent
경영하다	to manage, administer
그만두다	to stop, to cease, to drop, to quit
퇴직하다	to retire
발표하다	to announce, make public, present
제출하다	To submit,tender
모집하다	to recruit
담당하다	take charge, be in charge of (not 맡..)
미루다	to postpone (not 늦.., 연..)
맡다	to be in charge of, responsible for
번역	written translation
통역	interpretation (translation)
추천하다	to recommend
근무하다	to work (in a company)
