입맛	appetite
냄새	a smell
외식	eating out
도시락	lunch box
후식	dessert
김장	kimchi making season
유효기간	term of validity, expiration date
냉동식품	frozen food
죽	Porridge, congee
나물	Vegetable dish
양념	Spice
벗기다	to peel
깎다	to shave
자르다	to cut
갈다	grate, sharpen
다지다	to chop up
비비다	to rub
무치다	to add seasoning
찌다	to steam
삶다	to boil, cook
데치다	to parboil (boil lightly)
부치다	to fry
튀기다	to deep-fry
데우다	to warm, heat up
식다	to cool off
젓다	to stir (not 버.., 섞..)
담그다	Soak/make (food)
느끼하다	to be greasy
고소하다	to be savory
담백하다	to be plain
싱싱하다	Be fresh, full of life
신선하다	to be fresh (not 싱..)
질기다	to be tough
부드럽다	to be fluffy
쉬다	to go bad
상하다	to go bad, stale
간식	a light meal, a snack
재료	material, ingredients
굽다	broil, roast or bake, burn
섞다	to mix, blend (not 버.., 젓..)
썰다	to dice, mince
끓이다	to boil, heat (i.e. a soup, a broth)
볶다	to stir-fry
딱딱하다	hard, solid, tough
연하다	to be tender, weak in flavor
