사사건건	everything little thing
민요	folk song, ballad
고개	neck
임	one's beloved, one's lover
편곡하다	arrange
한	resentment[sorrow regret]
민족 정서 	national emotion
찬송가	hymn, psalm
자장가	lullaby
구슬프다	sad, mournful, sorrowful
얼핏	at a glance
언뜻	in an instant, in a flash
생동감	liveliness, vitality
선명하다	be clear
은은하다	delicate; soft
추상적	abstract
역동적	dynamic
사대부가	family of scholar-officials
능통하다	to be proficient
곤충	an insect
구도	composition, layout
은퇴	retirement
여생	life you have left
한양	Seoul's previous name
잔디밭	lawn,grass
문병하다	visit someone
나그네	wanderer
낙엽	fallen leaves
이슬	dew, dewdrops
소풍	a walk; a picnic
스러지다	disappear
노을빛	sunset
기슭	edge, border
노 젓다	to row
그림자	a shadow, silhouette
옥	jade
뱃전	the sides of a boat[ship]
옷자락	a hem
호젓이	quietly
뜰	garden;a yard;a courtyard
바람이 일다	the wind rises
열매를 맺다	bear fruit
아낌없이	generously; freely
수줍다	shy
그늘을 드리우다	to cast a shadow
안식처	a place to find peace, a refuge
문전성시	constant stream of visitors
본질	essence, nature
더러	sometimes, occasionally, from time to time
욕설을 퍼붓다	hurl abuses[insults]
출품하다	exhibit, show
거부되다	to be denied
미적 가치	an aesthetic value
절대적	unconditional, absolute
수박 겉 핥기이다	superficial
꿈보다 해몽이 좋다	make a good interpretation out of a trivial or bad affair
나무를 보고 숲을 보지 못한다	can't see the forest for the trees
