위염	gastritis, inflammation of the stomach
공대를 나오다	-
감각	a sense, a sensation, a feeling
조만간	before long, shortly, sooner or later
접어들다	to enter, to come upon, to approach
하도	too (much), so, very, excessively
비중	relative importance/weight
속마음	one's real intention, the bottom of one's heart
엿보다	to steal a glance at, to peep into, to peek at; to guess, to infer
자국	one's own country
엄지손가락	a thumb
제법	pretty, quite, fairly, considerably
만원	full, no vacancy
이맘때	about/around this time
불가분	indivisibility, inseparability 
평등하다	to be equal, even, impartial
적용되다	to apply, be applicable
시각	a point of view, a standpoint, a perspective
눈높이	one's level
발생하다	to occur, to happen, to take place
규모	a size, a scale, a scope
주연	a lead/starring role
어마어마하다	to be enormous, tremendous, colossal, immense
달하다	to reach, to come to (ex. a level)
고유	inherent, innate, indigenous
동일하다	to be identical, equal, the same
흩어지다	to scatter, to disperse
축약하다	to abbreviate, contract, summarize
믿음직스럽다	to be reliable, to be sincere
속이 깊다	to be deep (emotionally)
까닭	a reason,a cause
익살스럽다	comical, funny
경향	trend, tendency
구수하게 들리다	to sound pleasant
각양각색	diversity, variety, multifariousness, manifoldness, all sorts
희로애락	basic emotions/feelings
정서	emotion
고스란히	remain as it is
문화유산	cultural heritage
육지	land, the shore
압축적	constrictive
이를테면	for example
반영하다	to reflect
불분명하다	to be unclear
강요하다	press; to force to do; demand
지적하다	To indicate,to point out
경청	listen courteously
애초	the very first, the beginning
진정하다	true; real; genuine
말이 씨가 되다	be careful what you wish for
가는 말이 고와야 오는 말이 곱다	nice words for nice words
입은 비뚤어져도 말은 바로 하랬다	even if the circumstances are bad or confusing, speak clearly
