윤리적	ethical, moral
성공을 거두다	win[secure] success
출시되다	be introduced, be put on the market
시판되다	come into the market
밀접하다	close, intimate
첨단 기술	high tech
일깨우다	awaken, arouse, enlighten, open sb's eyes
마찰력	friction
의존하다	To depend on, rely on
돈독하다	close, friendly
혁신적	innovative
피땀 흘리다	sweat blood
수사하다	investigate
구조 대원	a rescue worker
수색 작업을 벌이다	send a search party
기출문제	previous test problems
좀처럼	rarely, hardly, not easily
향상되다	improvement, advancement, progress, betterment, improve, advance, progress
감지하다	sense, notice, be aware, detect, perceive, discern
원격	remote
거세다	fierce, strong
편익	convenience, benefit, advantage
구축되다	be built, constructed
적절하다	right, proper, suitable, appropriate, apposite
오물	rubbish, filth, refuse, garbage, trash, sewage, night soil
조절하다	to regulate,to control
설치하다	to install
효율적	efficent
진화하다	progress, evolve, develop
기기	equipment, instrument, apparatus
인식하다	to recognize
속속	successively, one after another
전망되다	prediction, outlook, expectation
이주민	an emigrant, an immigrant
추진되다	propel forward
보금자리	nest, home
주관하다	supervision, superintendence, supervise, run, oversee, superintend
조성되다	make, create, construct, build
한몫하다	play a role in
풍요롭다	to be rich (abstract)
멸종	extinction
생태계	ecosystem, ecological system
식량난	a shortage of food
예측하다	to predict, guess
가축	domestic animals
생산	production
허용되다	To be permitted, approved
이기적	selfish
행위	act, action, deed
그릇되다	wrong, bad, false
생명 경시 풍조	trend of undervaluing life
세월이 약이다	time heals
가는 날이 장날이다	bad timing
십 년이면 강산도 변한다	things change with time
