어리석다	juvenile,foolish
구현	embodiment
식이 요법	dietary treatment
강수량	(amount of) precipitation
사태	landslide
무분별하다	to be thoughtless, imprudent, reckless
멍들다	to go wrong
경각심	self-consciousness, self-awakening
민물	fresh water
매립장	landfill
포기	root, plant head
불모지	infertile land, wasteland
부지기수	countless, innumerable
장바구니	a shopping cart; a shopping basket
습관을 들이다	to make a habit of
감성적	emotional
세안	face wash
기초화장	base skincare products
위안이 되다	to be relieved
엎드리다	throw oneself down to their knees
개운하다	to be refreshed
현장	the scene of an incident
동지	nest
알을 품다	to embrace egg
어미	mother
경계	boundary, precaution, alert
낙심하다	to be discouraged, lose heart
아름드리나무	large beautiful tree
흥얼거리다	hum, sing to oneself
거대하다	to be huge, gigantic, enormous
관경	scene
기세	spirit, vigor
집어삼키다	to swallow, devour, gobble up
온갖	all kinds
노여움	anger; rage
보잘것없다	worthless, useless
철학	philosophy
한결	conspicuously, noticeably
형언하다	to describe, express
정화시키다	to cleanse
끈질기다	strongly adhesive
터벅터벅	difficulty walking
눈이 마주치다	make eye contact
눈에 들어오다	to watch, come into sight
연년생	children born in consecutive years
한바탕	scene, event
고집을 꺾다	to give up being stubborn
동거	live together
보살피다	to look after (not 돌보다)
으르렁대다	to growl, snarl
털어놓다	confide in another person
폐수	waste water
산업 폐기물	industry waste
감시하다	To monitor, watch
방지	prevention;check
협력	cooperation
애쓰다	exert oneself
이면지	two sided paper
형광등	fluorescent light
산 넘어 산이다	one problem after another
금강산도 식후경	eat before doing anything
사공이 많으면 배가 산으로 간다	lack of leadership leads to confusion
