조르다	to aggravate, badger
간밤	last night
이리저리	here and there
녹초가 되다	to be exhausted
망신을 당하다	to feel embarrassed, ashamed
우기다	to persist, insist
유해 사이트	harmful sites
차단	block, shut out, shut off, cut off
비방	slander
동참하다	participation, join
인신공격	personal attack
배포되다	to be released, distributed
호소하다	appeal, plea
정착	settlement
유출되다	overflow, discharge, drain out, flow(run) out
해킹	hacking
괜한 걱정이다	to worry too much
꺼림칙하다	to be uncomfortable, uneasy, leery of
마구	recklessly, haphazardly, at random
허위	false
뚫어지다	hole to open
교통 체증	traffic congestion
결근하다	to be absent
충혈되다	to be bloodshot
핼쑥하다	thin and pale, haggard
식중독	food poisoning
논문	a thesis/dissertation
고용	employment
창출	creation
브랜드	brand
영혼을 울리다	tug at one's heart strings
뇌리에 남다	stay in one's brain
호평	Favorable criticism
혹평	harsh criticism
파급	spread, reach, extend
단적	directly
업종	types of business
종대	column, file
인지도	awareness
막대하다	To be huge, enormous
풀어내다	solve, unravel, work out
후보	candidate
달가워하다	be happy, be pleased
곱지 않은 시선	unwelcome eyes
귀천이 없다	to be equally honorable
퍼지다	to spread out
악성 댓글	hate comment
도배	wallpaper, plaster
파헤치다	dig up, ferret out
여과 없이	no filter
침범하다	to invade,to encroach
노출되다	to be exposed
인권	human rights; civil rights
무단	without due notice
초상권	portrait rights, the rights to one's portrait
고소하다	to sue, bring a suit against
부응하다	meet, satisfy, fulfill, gratify
내세우다	to make a stand, to nominate
감수하다	bear, endure, put up with
등잔 밑이 어둡다	It's easy to miss what is in front of you.
뀡 구워 먹은 소식이다	there's no news
아니 땐 굴뚝에 연기 날까	there's no smoke without fire
