,0,1
0,어리석다,"juvenile,foolish"
1,구현,embodiment
2,식이 요법,dietary treatment
3,강수량,(amount of) precipitation
4,사태,landslide
5,무분별하다,"to be thoughtless, imprudent, reckless"
6,멍들다,to go wrong
7,경각심,"self-consciousness, self-awakening"
8,민물,fresh water
9,매립장,landfill
10,포기,"root, plant head"
11,불모지,"infertile land, wasteland"
12,부지기수,"countless, innumerable"
13,장바구니,a shopping cart; a shopping basket
14,습관을 들이다,to make a habit of
15,감성적,emotional
16,세안,face wash
17,기초화장,base skincare products
18,위안이 되다,to be relieved
19,엎드리다,throw oneself down to their knees
20,개운하다,to be refreshed
21,현장,the scene of an incident
22,동지,nest
23,알을 품다,to embrace egg
24,어미,mother
25,경계,"boundary, precaution, alert"
26,낙심하다,"to be discouraged, lose heart"
27,아름드리나무,large beautiful tree
28,흥얼거리다,"hum, sing to oneself"
29,거대하다,"to be huge, gigantic, enormous"
30,관경,scene
31,기세,"spirit, vigor"
32,집어삼키다,"to swallow, devour, gobble up"
33,온갖,all kinds
34,노여움,anger; rage
35,보잘것없다,"worthless, useless"
36,철학,philosophy
37,한결,"conspicuously, noticeably"
38,형언하다,"to describe, express"
39,정화시키다,to cleanse
40,끈질기다,strongly adhesive
41,터벅터벅,difficulty walking
42,눈이 마주치다,make eye contact
43,눈에 들어오다,"to watch, come into sight"
44,연년생,children born in consecutive years
45,한바탕,"scene, event"
46,고집을 꺾다,to give up being stubborn
47,동거,live together
48,보살피다,to look after (not 돌보다)
49,으르렁대다,"to growl, snarl"
50,털어놓다,confide in another person
51,폐수,waste water
52,산업 폐기물,industry waste
53,감시하다,"To monitor, watch"
54,방지,prevention;check
55,협력,cooperation
56,애쓰다,exert oneself
57,이면지,two sided paper
58,형광등,fluorescent light
59,산 넘어 산이다,one problem after another
60,금강산도 식후경,eat before doing anything
61,사공이 많으면 배가 산으로 간다,lack of leadership leads to confusion
0,보기 좋은 떡이 먹기도 좋다,you can't judge a book by its cover
1,잔뜩,"fully, abundantly"
2,빈 수레가 요란하다,All talk no walk
3,동향,trend
4,호경기,"prosperity, robust economy"
5,매입하다,"to purchase, buy"
6,불황,"weak economy, dullness"
7,과열되다,to overheat
8,침체되다,"recession, depression, slump, stagnation"
9,하늘 높은 줄 모르다,sky-high
10,치솟다,"rise, soar, shoot up"
11,터무니없이,"absurdly, ridiculously"
12,엄두가 안 나다,"to be inconceivable, unthinkable"
13,너 나 할 것 없이,"not only you and I, everyone"
14,그나저나,"by the way, anyway"
15,차차,gradually
16,명문대,brand name university
17,뒤지다,"go through, look through, search through"
18,제쳐 두다,put aside
19,오디션,audition
20,인기척이 나다,to make a noise signaling one is present
21,투덜거리다,"complain, grumble"
22,티격태격하다,"bicker, squabble, quarrel"
23,알다가도 모르다,to not really know
24,첨부하다,"attach, add"
25,촉촉하다,moisturized
26,수분,"water, moisture, humidity"
27,탄력,"elasticity, flexibility"
28,윤기,"luster, shine, gloss"
29,인기 만점,very popular
30,조작,operation
31,제조,"making, production"
32,수용하다,"accomodate, seat"
33,수동적,passive
34,능동적,active
35,물결을 타다,to ride the waves
36,상세하다,"detailed, circumstantial"
37,급급하다,To be busy
38,부작용,a side effect;reaction
39,실질적,"substantial,essential"
40,매출,"sale, selling"
41,영향력을 행사하다,exert[exercise] one's influence
42,날개 돋친 듯 팔리다,sell[go] like hot cakes
43,무려,as many as
44,좌우되다,"to be swayed, influenced"
45,직간접적,direct and indirect
46,프로슈머,a person who consumes and produces media
47,선풍적,sensational
48,일방적,one sided
49,추가하다,"To add sth, to supplement"
50,실행하다,to implement
51,화질,screen quality
52,음질,sound quality
53,합리적,"Rational, reasonable"
54,알뜰,thrift
55,욕망,"desire, craving"
56,지불하다,"pay (out), make payment, settle payment"
57,총체적,"general, overall"
58,예산,budget
59,금액,amount of money
60,인하하다,"to reduce, lower"
61,우선순위,order of priority
62,가령,"if;suppose (that),for instance"
63,싼 것이 비지떡이다,you get what you paid for
64,같은 값이면 다홍치마이다,"things being equal, choose the better one"
65,외상이면 소도 잡아 먹는다,"If credit is plentiful, you will buy anything."
0,존재,existence;subsistence;being
1,딱히,not particularly
2,더부룩하다,to feel bloated
3,마땅하다,"To be natural, right, proper"
4,세대,generation
5,베이비 붐,baby boom
6,민주화,democratization
7,시급하다,"to be pressing, urgent"
8,싱글족,single life style
9,불과,"only, merely, no more than"
10,여건,a given condition[circumstance]
11,평생직장,a lifetime job
12,아닌 게 아니라,just as one thought
13,부쩍,"remarkably, notably "
14,하긴,"Indeed, though, nevertheless"
15,노동 생산성,productivity of labor
16,상승,"rise, increase, climb"
17,사교육비,private education expenses
18,위화감,"disharmony, incompatibility"
19,정책,policy
20,복지,welfare
21,내보이다,display
22,나무꾼,"lumberjack, woodcutter"
23,도끼,axe; hatchet
24,산신령,a mountain god
25,홀연히,"suddenly, abruptly"
26,우화,"fable, allegory"
27,산꼭대기,"mountaintop, summit"
28,느릿느릿,"slow, sluggishly"
29,취득,acquisition
30,시달리다,"be troubled <with>, be worried <with>"
