가족	family
형제	siblings
할머니	grandmother
여동생	younger sister
저희	our (humble)
함께	together
할아버지	grandfather
소개하다	to introduce
돌아가시다	to pass away (honorific)
주부	housewife
외할아버지	maternal grandfather
외할머니	maternal grandmother
아버지	father
어머니	mother
부모님	parents
형	boy's older brother
누나	boy's older sister
오빠	girl's older brother
언니	girl's older sister
동생	younger sibling
남동생	younger brother
남편	husband
아내	wife
아들	son
딸	daughter
누구누구	who (plural)
누구	who
잘하다	to be well
건강하다	to be healthy
대구	Daegu (city)
은행원	bank employee
춘천	Chuncheon (city)
경찰(관)	policeman
광주	Gwangju (city)
공무원	government employee
인천	Incheon (city)
교수	professor
전주	Jeonju (city)
결혼하다	to marry
죽다	to die
다녀오다	to drop in
대학	university
한국어학	Korean linguistics
취직하다	to get a job
경제학	academic economics
이사하다	to move
직장	one's work place
은퇴	retirement
후	after
고향	hometown
중학교	middle school
영어	the English language
먼저	first
선물	present / gift
회의	meeting
가족에게	to the family
