타다	to ride
버스	bus
얼마나	how long
걸리다	(time) to take
(30분) 정도	about (30 minutes)
기숙사	dormitory
걸어오다	to come by walking
시청	city hall
지하철	subway
(1) 호선	line (number 1)
공항	airport
공항 버스	airport bus
갈아타다	to transfer (buses etc.)
차	car
택시	taxi
자전거	bicycle
오토바이	motorcycle
기차	train
고속 버스	express bus
비행기	airplane
배	ship
부산	Busan (city)
걸어다니다	to go around on foot
버스 정류장	bus stop
지하철역	subway station
근처	neighborhood
가깝다	to be close
멀다	to be far
대전	Daejeon (city)
설악산	Seoraksan (mountain)
고속 버스 터미널	express bus terminal
고려대	Korea University
중앙 시장	Central Market
수원	Suweon (city)
생일	birthday
생일 파티	birthday party
초대	invitation
시험	test / exam
이	this
뛰어가다	to run
