계절	season
봄	spring
여름	summer
가을	autumn, fall
겨울	winter
왜	why
날씨	weather
따뜻하다	to be warm
눈	snow
정말	really
예쁘다	to be pretty
처음	first
우리 나라	my country
베트남	Vietnam
비	rain
사계절	four seasons
바람이 불다	(wind) to blow
무척	very
시원하다	to be refreshing
하늘	sky
맑다	to be clear
싫다	to dislike
춥다	to be cold
덥다	to be hot
날씨가 좋다	(the weather) to be good
날씨가 나쁘다	(the weather) to be bad
흐리다	to be cloudy
비가 오다	to rain
눈이 오다	to snow
너무	too much
꽃이 피다	(flower) to bloom
소풍 가다	to go on a picnic
바닷가에 가다	to go to the beach
휴가 가다	to go for a vacation
땀이 나다	to sweat
단풍이 들다	(leaves) to change colors (in autumn)
산책하다	to take a walk
나뭇잎이 떨어지다	leaves to fall
스키를 타다	to ski
태국	Thailand
건기	dry season
우기	rainy season
힘들다	to be hard/tiring
송끄란	Songkran (a city in Thailand)
축제	festival
숙제	homework
일찍	early
열심히	hard
종로	Jong-ro
걷다	to walk
다리	leg
아프다	to be sick
어렵다	to be difficult
쉽다	to be easy
무겁다	to be heavy
가볍다	to be light
가깝다	to be close
고맙다	to be grateful
반갑다	to be glad
아름답다	to be beautiful
더럽다	to be dirty
곱다	to be lovely
돕다	to help
