어떻게 오셨습니까?	What brings you here?
올려놓다	to put (a thing) on
환전	exchange of money
바꾸다	to change (something)
통장	bankbook
신청서	application form
서명	signature
여권	passport
알겠습니다	I see
달러	dollar
주소	address
비밀 번호	PIN code
현금 카드	debit card
편지를 보내다	to send a letter
소포를 보내다	to send a package
엽서를 사다	to buy a postcard
우표를 사다	to buy a postage stamp
환전하다	to change money
돈을 찾다	to withdraw money
돈을 보내다	to send money
통장을 만들다	to open an account
현금 카드를 만들다	to make a debit card
신용 카드를 만들다	to make a credit card
우편 번호	postal code
우표	stamp
붙이다	to put on
도장을 찍다	to stamp
가지고 오다	to bring
보내는 사람	sender
저울	scale
하루	one day
이틀	two days
사흘	three days
나흘	four days
닷새	five days
엿새	six days
이레	seven days
여드레	eight days
아흐레	nine days
열흘	ten days
일주일	a week
보름	15 days
엔	yen
위안	yuan
유로	euro
여행자 수표	traveler's check
신분증	ID card
인터넷 뱅킹	online banking
자	Come on
예쁘게	nicely
앞으로	from now on
열심히	hard
벌써	already
