어디에 가요?	Where are you going?
도서관	library
식당	restaurant
지금	now
뭐	what
한국어	Korean (language)
공부하다	to study
재미있다	to be fun
아주	very, really
오늘	today
친구	friend
만나다	to meet
같이	together
영화	movie
보다	to see
그리고	and
학교	school
집	home, house
병원	hospital
약국	pharmacy
은행	bank
회사	company
우체국	post office
가게	store
시장	market
백화점	department store
극장	a movie theater, theatre
살다	to live
알다	to know
놀다	to play / spend time
사다	to buy
오다	to come
먹다	to eat
읽다	to read
웃다	to smile
열다	to open
듣다	to listen
마시다	to drink
기다리다	to wait
말하다	to speak
이야기하다	to talk
일하다	to work
전화하다	to call
노래하다	to sing
질문하다	to ask
대답하다	to answer
책	book
시계	watch
노트	notebook
모자	hat
카메라	camera
가방	bag
텔레비전	television
우산	umbrella
밥	meal / rice
우유	milk
음악	music
운동	exercise (sport)
커피	coffee
신문	newspaper
빵	bread
물	water
옷	clothes
청소하다	to clean
받다	to receive
서다	to stand
쓰다	to write
앉다	to sit
사과	apple
라면	ramen
