토요일	Saturday
기숙사	dormitory
...에 있다	to stay at ...
좀	a little
쉬다	to rest
몇 시	what time
일어나다	to wake up
여섯 시쯤	about 6:00
와	wow
그럼	then
아침	morning
일찍	early
반	half
오전	a.m.
수업	class
오후	p.m.
친구하고	with a friend
테니스를 치다	to play tennis
이메일을 보내다	to send an e-mail
빨래하다	to do laundry
편지	letter
한 시	1 o'clock
일 분	1 minute
끝나다	to finish
언제	when
점심	around lunch time
저녁	evening
낮	daytime
밤	night
오늘	today
어제	yesterday
그저께	the day before yesterday
내일	tomorrow
모레	the day after tomorrow
조금 전	a little before
조금 후	a little after
시내	downtown
자다	to sleep
샤워하다	to take a shower
학교에 가다	to go to school
수업이 시작되다	class starts
수업이 끝나다	class ends
출근하다	to go to work
퇴근하다	to leave work
요리하다	to cook
보통	usually
점심을 먹다	to have lunch
누구하고	with whom
많이	much, many
다	all
재미있게 놀다	to have fun
