주말	weekend
대학로	Daehank-ro (the name of a street)
한번	(try) once
그냥	just
쉬다	to rest
그런데	by the way
인사동	Insadong (district)
구경하다	to go sightseeing
차	tea
지난 주말	last weekend
민속촌	Folk Village
다음 주	next week
빨래하다	to do laundry
청소하다	to clean
요리하다	to cook
쇼핑하다	to go shopping
등산하다	to hike
여행하다	to travel
놀러 가다	to go somewhere for amusement
지난주	last week
이번 주	this week
지난달	last month
이번 달	this month
다음 달	next month
작년	last year
올해	this year
내년	next year
다니다	to commute to
산	mountain
바닷가	beach
수영장	swimming pool
운동장	playground
박물관	museum
공원	park
미술관	art gallery
과일	fruit
명동	Myeongdong (district)
그림	picture
동대문시장	Dongdaemun market
역사	history
아리랑	Arirang (the name of a folksong)
한국말로	in Korean
물건	merchandise
싸다	to be cheap
북한산	Bukhansan (mountain)
경주	Gyeongju (city)
한강 공원	Hangang Park
시내	downtown
경복궁	Gyeongbokgung (palace)
남산	Namsan (mountain)
서울 타워	Seoul Tower
크다	to be big
여러분	all of you
휴가	vacation
동안	during
동전	coin
며칠	a few days
전	ago
노래	song
마음에 들다	to like
남대문시장	Namdaemun market
