취미	hobby
요즘	these days
(일주일)에	per (week)
고궁	ancient palace
있는 동안	while I stay in some place
영화를 보다	to watch a movie
여행하다	to travel
사진을 찍다	to take pictures
요리하다	to cook
춤을 추다	to dance
그림을 그리다	to draw
컴퓨터 게임을 하다	to play computer games
우표를 모으다	to collect stamps
산책하다	to take a walk
운동하다	to do exercise
축구를 하다	to play soccer
야구를 하다	to play baseball
수영하다	to swim
스키를 타다	to ski
스케이트를 타다	to skate
골프를 치다	to play golf
테니스를 치다	to play tennis
탁구를 치다	to play ping pong
배드민턴을 치다	to play badminton
볼링을 치다	to play bowling
노래 부르다	to sing a song
경기	sporting event
자주	often, frequently
가끔	from time to time
미술관	art gallery
별로 안	hardly
거의 안	rarely
전혀 안	not at all
하루	one day
외국	foreign country
축구회	soccer club
회원	member
모집	invitation
환영하다	to welcome
매주	every week
(6시)부터	from (6:00)
(친구를) 사귀다	to make (friends)
초등 학교	elementary school
연락처	contact number
가격	price
피아노를 치다	to play the piano
동생	younger sibling
키가 크다	to be tall
약	medicine
부모님	parents
