,0,1
0,말씀 좀 묻겠습니다,Can I ask you something?
1,쭉 가다,to keep going
2,나오다,to be there
3,생각나다,to come to mind
4,진짜,really
5,정문,main gate
6,삼거리,three-way intersection
7,횡단보도,crosswalk
8,내리다,to get off
9,출구,exit
10,편의점,convenience store
11,지나다,to pass
12,건너다,to go across
13,돌아가다,to turn back
14,올라가다,to go up
15,내려가다,to go down
16,나가다,to go outside
17,들어가다,to go inside
18,지하,underground
19,정수기,water purifier
20,사거리,four-way intersection
21,로터리,traffic circle
22,지하도,underground passage
23,육교,overpass
24,도로,road
25,골목,alley
26,PC방,internet cafe
27,자동판매기,vending machine
28,현금 인출기,ATM
29,휴게실,lounge
30,조용하다,to be quiet
31,개장 시간,opening hour
32,요금,charge/fee
33,위치,location
34,누르다,to push
35,후문,back gate
36,양,amount
37,무엇보다도,above all
38,우회전하다,to turn to the right
39,금방,in a minute
0,딸기,strawberry
1,싱싱하다,to be fresh
2,배,pear
3,어떻게 해요?,how much?
4,이건,This is-
5,저건,That is-
6,뭘 찾으세요?,What are you looking for?
7,블라우스,blouse
8,디자인,design
9,유행이다,to be in fashion
10,색깔,colour
11,흰색,white
12,분홍색,pink
13,어울리다,to suit/fit you well
14,작다,to be small (in size)
15,사이즈,size
16,넓다,to be broad
17,티셔츠,T-shirt
18,김,"(green, dry) laver"
19,청바지,blue jeans
20,사과,apple
21,귤,tangerine
22,수박,watermelon
23,포도,grape
24,복숭아,peach
25,참외,melon
26,감,persimmon
27,토마토,tomato
28,체리,cherry
29,통,counter for watermelon/pumpkin/letters
30,바지,trousers
31,반바지,shorts
32,치마,skirt
33,남방,oxford shirt
34,스웨터,sweater
35,조끼,vest
36,양복,suit
37,원피스,one-piece dress
38,정장,formal clothes
39,캐주얼,casual
40,까만색,black (1)
41,검정색,black (2)
42,하얀색,white (2)
43,빨간색,red
44,파란색,blue
45,노란색,yellow
46,초록색,green
47,주황색,orange
48,보라색,violet
49,갈색,brown
50,회색,gray
51,진하다,to be deep (in colour)
52,연하다,to be light (in colour)
53,어둡다,to be dark (in colour)
54,밝다,to be bright (in colour)
55,팔리다,to sell
56,헐렁하다,to be loose
57,붙다,to be tight
58,딱 붙다,to be too tight
59,맞다,to fit perfectly
60,꽉 맞다,to fit too tightly
61,길이,length
62,길다,to be long
63,짧다,to be short
64,편하다,to be comfortable
65,불편하다,to be uncomfortable
66,답답하다,to be stuffy/tight
67,품질이 좋다,to be good quality
68,천천히,slowly
69,잘 나가다,to be sold well
70,주문하다,to order
71,고객,customer
72,할인 행사,special discount
73,봉지,bag/packet
74,즐겨 입다,to like to wear
75,화려하다,to be brilliant
76,특별히,specifically
77,패션 감각,fashion sense
78,직접,in person
79,고르다,to select
80,영화 촬영,shooting
81,코디네이터,coordinator
0,사 개월,four months
1,고시원,small studio for students
2,고생하다,to have a hard time
3,노력하다,to make an effort
4,익숙해지다,to get used to
5,친구가 생기다,to make a friend
6,즐거워지다,to become pleasant
7,(시간이) 되다,(time) to pass (1)
8,(시간이) 흐르다,(time) to pass (2)
9,(시간이) 지나다,(time) to pass (3)
10,전통 문화,traditional culture
11,연예인,entertainer
12,기숙사,dormitory
13,하숙집,boarding house
14,원룸,studio
15,물가,prices
16,물가가 내리다,(prices) to decline
17,이해하다,to understand
18,즐기다,to enjoy
19,길을 모르다,not to know how to go (somewhere)
20,경험을 하다,to experience
21,날마다,every day
22,남다,to remain
23,정확하다,to be correct
24,실력을 늘리다,to improve
25,치다,to type
26,동아리에 가입하다,to join a club
27,향수병,homesickness
28,서투르다,to be clumsy
29,아주머니,(old) lady
30,힘내다,to cheer up
31,안암동,Anam-dong (district)
32,유학생,international student
33,방송,broadcast
34,청춘,youth
35,마음이 따뜻하다,to be heart-warming
36,응원하다,to support
37,신청하다,to ask for
38,남미,South America
39,동양,the Orient
40,관심을 갖다,to have an interest in
41,돈을 모으다,to save money
42,따라하다,to follow
43,학기,semester
44,여기저기,here and there
0,손을 베다,to be cut
1,바르다,to apply
2,어디 봅시다,let's see
3,살짝,slightly
4,드리다,to give (to the person older than the speaker)
5,상처,injury
6,여러 번,many times
7,소독을 하다,to disinfect
8,얼굴에 뭐가 나다,to come out on the face
9,최근,recently
10,화장품,cosmetics
11,여드름,pimple/acne
12,청소년,youth/juveniles
13,나이가 들다,to become old
14,때문에,because of
15,처방하다,to prescribe
16,연고,ointment
17,아무 것도,nothing
18,체하다,to have indigestion
19,뭔가,something
20,손바닥,palm
21,가운데,the middle/the center
22,소화가 되다,to be able to digest
23,빠르다,to be quick
24,방법,method
25,다치다,to get injured
26,손을 데다,to be burned
27,손이 붓다,to swell
28,발목을 삐다,to sprain one's ankle
29,다리가 부러지다,to break one's leg
30,상처가 나다,to get a wound
31,피가 나다,to bleed
32,여드름이 나다,to have a pimple on face
33,피부가 가렵다,to be itchy
34,따갑다,to be pricking
35,주사를 맞다,to get injections
36,밴드를 붙이다,to put on a bandaid
37,붕대를 감다,to apply a bandage
38,파스를 붙이다,to put on a poultice
39,깁스를 하다,to wear a plaster cast
40,반창고를 붙이다,to apply a plaster
41,찜질을 하다,to apply a hot/cold pack
42,주무르다,to massage
43,꽉 누르다,to press down hard
44,찬물,cold water
45,손을 담그다,to dip one's hands
46,양말,socks
47,생리통,menstrual cramps/PMS symptoms
48,얼음주머니,ice bag
49,소독약,disinfectant/antiseptic
50,속이 답답하다,to feel bloated
51,새로,newly
52,스트레스를 받다,to have stress
53,새벽,dawn
54,꽃가루,pollen
55,알레르기,allergy
56,식후,after your meal
57,식전,before your meal
58,밀가루,flour
59,막,just
60,뛰다,to run
61,우선,first of all
62,온몸,all over the body
63,돌리다,to flip
64,다행히,fortunately
65,굽이 높다,to be high-heeled
66,무조건,unconditionally
67,약간,a little bit
68,특별하다,to be special
69,치료법,remedy/treatment
70,열을 식히다,to cool the heat
71,불,fire
72,위험하다,to be dangerous
73,흐르다,to be running
74,알코올,alcohol
75,날아가다,to evaporate
76,집을 구하다,to look for a house
77,방금,in no time
0,중개인,real estate agent
1,비다,to become empty
2,가구,furniture
3,마침,fortunately
4,짓다,to build
5,깨끗하다,to be clean
6,새것,to be (brand) new
7,사무실,office
8,(햇빛이) 잘 들어오다,(sunlight) to come into well
9,밝다,to be bright
10,아까,some time ago
11,덜,less
12,크기,size
13,부동산 (중개소),real estate agency
14,알아보다,to inquire
15,복도,corridor/hallway
16,안방,main room
17,작은방,small room
18,거실,living room
19,부엌,kitchen
20,화장실,toilet
21,욕실,bathroom
22,베란다,terrace
23,현관,entrance
24,마당,garden
25,대문,front gate
26,이사하다,to move
27,이사를 가다,to move (out) to (a place)
28,이사를 오다,to move into (a place)
29,집을 옮기다,to move house
30,다른 곳으로 옮기다,to move to another place
31,방이 크다/작다,room to be big/small
32,방이 넓다/좁다,room to be large/small
33,방이 밝다/어둡다,room to be bright/dark
34,햇빛이 잘 들다,sunlight to come in
35,창문이 크다/작다,window to be big/small
36,공기가 잘 통하다,to be well ventilated
37,전망이 좋다,to have a good view
38,가구가 있다,to be furnished
39,화장실이 딸려 있다,to have a bathroom
40,새로 짓다,to be newly built
41,지은 지 오래되다,(building) to be old
42,집이 낡다,(house) to be old
43,지저분하다,to be dirty
44,집 주변이 조용하다/시끄럽다,to be quiet/noisy around a house
45,주변 경치가 좋다,to have a fine view
46,시설이 잘 되어 있다,to have good facilities
47,데,place
48,시설이 좋다,to be well equipped
49,넓이,space
50,공사를 하다,to do construction
51,새집,new house
52,환하다,to be bright
53,전자제품,electronic equipment
54,비슷비슷하다,to be much the same
55,세탁실,laundry room
56,치우다,to remove
57,따로 있다,to be seperate
58,딸려 있다,to be furnished with
59,책장,bookshelf
60,신축,newly built
61,대형 할인점,large-scale discount store
62,위치하다,to be located
63,다양하다,to be various
64,제공하다,to offer
65,공동 샤워실,shared shower room
66,1인실,single room
67,선택하다,to choose
0,오래간만이다,to haven't seen someone for a long time
1,오랜만이다,to haven't seen someone for a long time (2)
2,그동안,meanwhile
3,잘 지내다,to be quite well
4,덕분에,thanks to (you)
5,얼굴이 타다,to get sunburned
6,갔다 오다,to have been
7,지리산,Jirisan (mountain)
8,얼마 만이다,It's been a long time
9,계속,continuously
10,그랬구나,"Oh, I see"
11,연락하다,to get in touch with
12,기말 시험,finals
13,취직 준비,making an effort to get a job
14,새롭다,to be new
15,일을 구하다,to find a job
16,번역하다,to translate
17,덕분에 잘 지내다,"to be doing just fine, thanks."
18,잘 보내다,to have a good time
19,잘 있다,to be fine
20,별일 없다,to be without any accident
21,바쁘다,to be busy
22,정신이 없다,to be deadly busy
23,한가하다,to have a lot of spare time
24,그저 그렇다,neither so good nor so bad
25,학교에 입학하다,to enter a school
26,학교를 휴학하다,to take time off school temporarily
27,유학을 가다,to go abroad for study
28,학교를 졸업하다,to graduate from a school
29,회사에 취직하다,to enter a company
30,회사를 옮기다,to move to another company
31,회사를 그만두다,to resign from a company
32,남자 친구가 생기다,to start going out with a guy
33,여자 친구가 생기다,to start going out with a girl
34,결혼하다,to marry
35,이사하다,to change one's residence
36,학기 시작,starting a semester
37,졸업식,commencement / graduation ceremony
38,회사 면접,job interview
39,결혼식,wedding ceremony
40,쉬다,to take a rest
41,책을 읽다,to read a book
42,학원에 다니다,to go to institutes
43,외국어를 배우다,to learn a foreign language
44,컴퓨터를 배우다,to learn how to use a computer
45,한국어능력시험 공부를 하다,to study for the Test of Proficiency in Korean
46,여행을 하다,to go on a trip
47,고향에 갔다 오다,to have been to one's hometown
48,아르바이트를 하다,to work a part-time job
49,한국 문화를 체험하다,to experience Korean culture
50,봉사 활동을 하다,to do community service
51,한옥,traditional Korean-style house
52,볼일,something to do
53,급하다,to be in a hurry
54,웬일이야?,What's up?
55,출장,business trip
56,똑같다,to be the same
57,우연히,by chance
58,회의,meeting
59,메시지를 남기다,to leave a message
60,드디어,finally
61,신나다,to be excited
62,구경시켜 주다,to show around
63,하숙집,boarding house
0,어머,oh no!
1,어,oh!
2,그렇다,to be so
3,혹시,by some chance
4,일기예보,weather forecast
5,소나기,rain shower
6,같다,to be alike
7,그럴까요?,Is it so?
8,걱정하다,to worry
9,(비가) 그치다,(rain) to stop
10,굉장히,very (much)
11,추워지다,to become colder
12,그래도,still
13,기온이 높다,to be high temperature
14,습도가 높다,to show a high percentage of humidity
15,말씀드리겠습니다,I'll talk about...
16,중부지방,the middle part
17,구름이 끼다,to be cloudy
18,남부지방,the southern part
19,대체로,for the most part
20,최저기온,the lowest temperature
21,(0)도,(zero) degree
22,최고기온,the highest temperature
23,차이,difference
24,두껍다,to be thick
25,얇다,to be thin
26,여러,several
27,보내다,to spend
28,하루 종일,all day long
29,기온이 낮다,(temperature) to be low
30,기온이 올라가다,(temperature) to go up
31,기온이 떨어지다,(temperature) to go down
32,습도가 낮다,(humidity) to be low
33,건조하다,to be dry
34,영상,above zero
35,영하,below zero
36,다른,other
37,참,very
38,해가 나다,to be sunny
39,날이 개다,to clear up
40,소나기가 내리다,(shower) to come
41,천둥이 치다,(thunder) to roll
42,번개가 치다,(lightening) to flash
43,태풍이 불다,(typhoon) to blow
44,장마가 시작되다,(the rainy season) to start
45,외출하다,to go out
46,나들이를 하다,to go on a picnic
47,세차를 하다,to wash a car
48,이불을 빨다,to wash bedclothes
49,차를 가지고 가다,to drive a car
50,난방을 하다,to heat / be heated
51,오래간만에,after a long time
52,땀이 나다,to sweat
53,손이 시리다,(hands) to be cold
54,옷이 젖다,(clothes) to get wet
55,길이 미끄럽다,(road) to be slippery
56,먼지가 나다,to be dusty
57,장마철,rainy season
58,한때,once
0,서쪽,the west
1,떨어져 있다,to be away
2,환경 도시,environmental city
3,산업 도시,industrial city
4,기업,company
5,대기업,big firm
6,지방,region
7,인구,population
8,넘다,to be over
9,움직이다,to move (around)
10,힘이 나다,to gain energy
11,대도시,big city
12,적응하다,to adapt
13,현대,modern times
14,과거,past
15,북쪽,the north
16,주도,the state capital
17,성,castle
18,건축물,building/architecture
19,일 년 내내,all the year around
20,찾아오다,to visit
21,전체,the whole
22,동쪽,the east
23,동남쪽,the southeast
24,동북쪽,the northeast
25,서남쪽,the southwest
26,서북쪽,the northwest
27,개성,Gaesung (city)
28,아이,child
29,교육시키다,to educate
30,도시,city
31,시골,country
32,수도,capital
33,소도시,small city
34,교육 도시,education(al) city
35,인구가 많다,to be populous
36,복잡하다,to be crowded
37,교통이 편리하다/불편하다,transportation to be convenient/inconvenient
38,조용하다,to be quiet
39,시끄럽다,to be noisy
40,공기가 맑다,to have fresh air
41,인심이 좋다,to be generous
42,...로 유명하다,to be famous for...
43,살기 편하다/불편하다,to be good/bad for living in
44,역사가 오래되다,to have a long history
45,유적지,historic site
46,공장,factory
47,리조트,resort
48,패션쇼장,fashion show (place)
49,멋지다,to be fabulous
50,맞다,to be correct
51,정치,politics
52,경제,economy
53,중심지,center/hub
54,두 번째로,the second
55,발전하다,to grow/develop
56,훨씬,much more
57,신라,Silla (Dynasty)
58,옛날,long time ago
59,농사를 짓다,to do farming
60,왕,king
61,글자,letter/character
62,밭,field
63,피라미드,pyramid
64,캥거루,kangaroo
65,소고기,beef
66,역사적이다,to be historic
67,메콩강,Mekong river
68,자리를 잡다,to occupy a position
69,불리다,to be called
70,혁명,revolution
71,달리다,to run/rush
72,돈을 벌다,to make money
0,주로,mostly
1,재즈 댄스,jazz dance
2,동아리,club
3,모형 자동차,miniature  car
4,멋있다,wonderful
5,한,about
6,재료,materials
7,인터넷,Internet
8,산꼭대기,mountaintop/summit
9,최고,"best, greatest (pleasure)"
10,암벽등반,rock-climbing
11,기타를 치다,to play the guitar
12,등산을 하다,to climb a mountain
13,그림을 그리다,to draw
14,컴퓨터 게임을 하다,to play computer games
15,우표를 모으다,to collect stamps
16,모형 자동차를 만들다,to assemble a miniature car
17,전시회에 가다,to go to an (art)exhibition
18,음악회에 가다,to go to a music concert
19,소설책,novel
20,시간이 나다,to be free
21,잡지,magazine
22,연주하다,to play (a musical instrument)
23,악기를 연주하다,to play a musical instrument
24,피아노를 치다,to play piano
25,바이올린을 켜다,to play the violin
26,하모니카를 불다,to play the harmonica
27,피리를 불다,to play the flute
