광화문	Gwanghwamun (area)
고려대역	Korea University station
청구역	Cheong-gu station
광화문역	Gwanghwamun station
올림픽공원	Seoul Olympic Park
마천행	bound for Macheon
한 번에 가다	go straight without any transfer
회사 동료	co-worker
노선도	subway linemap
미리	in advance
확인하다	to check
목포	Mokpo (city)
신촌	Sinchon (area)
인천공항	Incheon airport
서울대공원	Seoul Grand Park
압구정동	Apgujeong-dong (district)
신사동	Sinsa-dong (district)
복잡하다	to be congested
돌아가다	to go a longway rond
앉아서 가다	to get a seat
서서 가다	to stand
아직	yet
정거장	stop
정동극장	Jeong-dong Theater
보라매공원	Boramae Park
강남	Gangnam (area)
약수역	Yaksu station
동묘역	Dongmyo station
이태원	Itaewon (area)
삼각지역	Samgakji station
신길역	Sin-gil station
여위도	Yeo-ido (area)
충무로	Chungmu-ro (street)
청량리	Cheongnyangni (area)
방면	bound for (1)
안국	An-guk (area)
용산	Yongsan (area)
동대문역사문화공원	Dongdaemun History & Culture Park
부산	Busan (city)
행	bound for (2)
모란 (시장)	Moran (market)
수서	Suseo (area)
보정	Bojeong (area)
평택	Pyungtaek (city)
천안	Cheonan (city)
사당	Sadang (area)
오이도(역)	Oido (station)
이촌(역)	Ichon (station)
성북(역)	Seongbuk (station)
도봉산	Dobongsan (mountain)
출퇴근 시간	rush hour
도곡역	Dogok station
종로3가역	Jongno 3-ga station
강남역	Gangnam station
한 걸음 물러서다	to take a step backward
종착역	terminal station
두고 내리다	to leave something (when one gets off)
살펴보다	to take a close look at
이용하다	to use
조용히	quietly
드림	from (honorific)
주변	surroundings
혼잡하다	to be crowded
대중교통	public transportation
