장학금을 받다	to win a scholarship
축하하다	to congratulate
한 턱 내다	to treat
당연하다	to be sure
농담	joke
섭섭하다	to feel sorry
슬퍼하다	to feel sad
담다	to include
시디	CD
바로	as soon as possible
결과가 나오다	(the result) to be announced/published
긴장이 되다	to be nervous
시험에 떨어지다	to fail in an examination
합격하다	to pass an examination
소리를 지르다	to yell
힘들어하다	to have difficulty in
격려하다	to encourage
기분이 좋다	to feel good
기분이 나쁘다	to feel unpleasant
행복하다	to be happy
즐겁다	to be pleasant/happy
기쁘다	to be glad/delightful
슬프다	to be sad
외롭다	to be lonely
섭섭하다	to feel sorry
부끄럽다	to be shy
창피하다	to be shameful
무섭다	to be afraid
화가 나다	to be angry
짜증이 나다	to be frustrated
속상하다	to feel depressed
다치다	to be hurt/injured
거짓말을 하다	to tell a lie
떨리다	to be nervous (2)
걱정되다	to be worried
고민되다	to be troubled
성적	the result of an examination
중요하다	to be important
결정을 하다	to make a decision
일이 잘 되다	to be succesful
이상하다	to be strange
지나가다	to pass/go by
실수하다	to make a mistake
헤어지다	to say goodbye / to break up
오해하다	to misunderstand
한숨을 쉬다	to sigh
박수를 치다	to clap hands/applaud
참다	to repress (one's anger, laughter,  etc)
수다를 떨다	to have a chat
용돈을 받다	to receive an allowance
잃어버리다	to lose
지갑	wallet/purse
고백을 받다	to receive a confession (of love)
혼나다	to be scolded
고장 내다	to break something
친하다	to be close
잘못을 하다	to do something wrong
발표	presentation
안색이 좋다	to look good
실력이 늘다	to improve
풀다	to solve
점수	score/point
승진을 하다	to get a promotion
넘어지다	to tumble down
도망가다	to run away
깜빡하다	to forget
틀리다	to get the wrong answer
실력	ability
실망하다	to be disappointed
추억	memory
잊다	to forget (2)
소식	news
대회	contest
1등을 하다	to be at the top
상을 타다	to receive an award
대단하다	to be great
역시	after all/really
궁금하다	to wonder
생기다	to happen
점점	gradually
다행이다	to be good/to be fortunate
자꾸	repeatedly
