말씀 좀 묻겠습니다	Can I ask you something?
쭉 가다	to keep going
나오다	to be there
생각나다	to come to mind
진짜	really
정문	main gate
삼거리	three-way intersection
횡단보도	crosswalk
내리다	to get off
출구	exit
편의점	convenience store
지나다	to pass
건너다	to go across
돌아가다	to turn back
올라가다	to go up
내려가다	to go down
나가다	to go outside
들어가다	to go inside
지하	underground
정수기	water purifier
사거리	four-way intersection
로터리	traffic circle
지하도	underground passage
육교	overpass
도로	road
골목	alley
PC방	internet cafe
자동판매기	vending machine
현금 인출기	ATM
휴게실	lounge
조용하다	to be quiet
개장 시간	opening hour
요금	charge/fee
위치	location
누르다	to push
후문	back gate
양	amount
무엇보다도	above all
우회전하다	to turn to the right
금방	in a minute
