딸기	strawberry
싱싱하다	to be fresh
배	pear
어떻게 해요?	how much?
이건	This is-
저건	That is-
뭘 찾으세요?	What are you looking for?
블라우스	blouse
디자인	design
유행이다	to be in fashion
색깔	colour
흰색	white
분홍색	pink
어울리다	to suit/fit you well
작다	to be small (in size)
사이즈	size
넓다	to be broad
티셔츠	T-shirt
김	(green, dry) laver
청바지	blue jeans
사과	apple
귤	tangerine
수박	watermelon
포도	grape
복숭아	peach
참외	melon
감	persimmon
토마토	tomato
체리	cherry
통	counter for watermelon/pumpkin/letters
바지	trousers
반바지	shorts
치마	skirt
남방	oxford shirt
스웨터	sweater
조끼	vest
양복	suit
원피스	one-piece dress
정장	formal clothes
캐주얼	casual
까만색	black (1)
검정색	black (2)
하얀색	white (2)
빨간색	red
파란색	blue
노란색	yellow
초록색	green
주황색	orange
보라색	violet
갈색	brown
회색	gray
진하다	to be deep (in colour)
연하다	to be light (in colour)
어둡다	to be dark (in colour)
밝다	to be bright (in colour)
팔리다	to sell
헐렁하다	to be loose
붙다	to be tight
딱 붙다	to be too tight
맞다	to fit perfectly
꽉 맞다	to fit too tightly
길이	length
길다	to be long
짧다	to be short
편하다	to be comfortable
불편하다	to be uncomfortable
답답하다	to be stuffy/tight
품질이 좋다	to be good quality
천천히	slowly
잘 나가다	to be sold well
주문하다	to order
고객	customer
할인 행사	special discount
봉지	bag/packet
즐겨 입다	to like to wear
화려하다	to be brilliant
특별히	specifically
패션 감각	fashion sense
직접	in person
고르다	to select
영화 촬영	shooting
코디네이터	coordinator
