대리	assistant manager
부탁	favor
문제가 생기다	to have a problem
부담을 갖다	to feel pressured
다른 게 아니라	to be nothing but
짐	luggage/baggage
어떡하다	to do somehow
도저히	(not) at all
신경쓰다	to pay attention to
대신	instead
정리하다	to arrange
갖다 주다	to bring
뵙다	to see (the person older than the speaker)
부탁하다	to ask a favor
부탁 드리다	to ask a favor (of a person who is older)
부탁이 있다	to have a favor to ask
부탁을 받다	to be asked a favor
부탁을 들어주다	to accept a request
부탁을 거절하다	to refuse a request
부탁을 거절당하다	to be rejected
도와주다	to help
도움을 주다	to give help
도움을 받다	to get help
빌리다	to borrow
고치다	to repair
옮기다	to move things from one place to another
반납하다	to return
물건을 전하다	to deliver something to someone
소포를 찾아오다	to bring/take back a package
가르치다	to teach
설명하다	to explain
번역하다	to translate
자료를 찾다	to search for materials
발표 준비를 돕다	to help preparing for a pesentation
필요하다	to need
사다 주다	to buy and give something for someone
먹을 것	something to eat
옆방	next room
발표문	speech script
한국인	Korean (people)
구경시키다	to show around
자세히	in detail
귀찮다	to be bothersome
도움이 되다	to be helpful
기간	term/period
곤란하다	to be difficult
메모	memo
새로	newly
갑자기	suddenly
한글 프로그램	Hangeul Programs
끄다	to turn off
켜다	to turn on
바이러스 체크	computer virus detection
AS센터	after-sales service center
세탁소	laundry
세탁비	laundry cost
서랍	drawer
메시지	message
하숙비	board charge
주인아주머니	landlady
중간에	in between
