자연	nature
돈이 들다	to cost
할인	discount
항공권	airline ticket
묵다	to lodge
숙소	lodgings
예약	reservation
유채꽃	rape flower
인상적이다	to be impressive
풍경	scenery
돌	stone
야자수	palm tree
환상적이다	to be fantastic
빠지다	to be in love with
연휴	holidays in a row
남쪽	south
섬	island
피다	to bloom
유명하다	to be famous
관광지	tourist spot
승마장	horse-riding place
말	horse
볼 것	things to see
길게	longer
바닷가	seashore
호수	lake
폭포	waterfall
온천	hot spring
절	temple
놀이동산	amusement park
여행비	travelling expenses
패키지 상품을 이용하다	to use a package tour
교통비	transportation expenses
식비	food expenses
음식을 하다	to cook
항공료	airfare
입장료	admission fee
할인을 받다	to get a discount
숙박비	lodging expenses
아끼다	to spare (expense)
부여	Buyeo (city)
태박산	Taebaksan (mountain)
민박을 하다	to take lodgings at a private house
열차	train
강화도	Ganghwado (island)
이천	Icheon (city)
시외버스	cross-country bus
끝내 주다	to be awesome
그저 그렇다	to be so and so
별로이다	to be not particularly good
감동적이다	to be touching
실망스럽다	to be disappointing
이국적이다	to be exotic
오래되다	to be old
초원	plain
동물	animal
신기하다	to be miraculous
특이하다	to be unique
친절하다	to be kind
만리장성	the Great Wall
규모	size
열리다	to be open
닫히다	to be closed
놓이다	to be placed
꽃이 피다	to bloom
걸리다	to be hanged
떨어지다	to fall
붙다	to be attached
쌓이다	to be piled up
손수건	handkerchief
바닥	floor
해수욕장	beach
도자기	pottery
회	raw fish
2박 3일	3 days and 2 nights
한 바퀴 돌다	make a tour of
놀이기구	adventure rides
가장행렬	fancy dress parade
자금성	Forbidden City
이화원	Summer Palace and Imperial Garden in Beijing
천안문 광장	The Tiananmen Square
춘천	Chuncheon (city)
주위	near
드라마를 찍다	to shoot a drama
관광객	tourist
마치다	to finish
닭갈비	chicken rib
여행지	destination
목적	purpose
진해	Jinhae (city)
벚꽃	cherry blossoms
마을	village
금액	cost
포함	inclusion
광장	square
해외여행	overseas trip
연	kite
활짝	in full bloom
들다	to be included
깨지다	to be broken
켜지다	to be (turned) on
꺼지다	to be (turned) off
졸리다	to be sleepy
