닮다	to resemble
체격	physique
눈이 작다	to have small eyes
넥타이를 매다	to wear a tie
면접	job interview
최선을 다하다	to do one's best
넥타이를 풀다	to untie a necktie
기다리고 기다리던	to look forward to/to wait and wait
미팅	blind date
이상형	Mr./Miss Right
어깨가 넓다	to have broad shoulders
첫눈에 반하다	to fall in love at first sight
짝	partner
말을 걸다	to talk to
으악	oh, no
첫 번째	first
몸	body
체격이 크다/작다	to have a large/small physique/frame
어깨가 넓다/좁다	to have broad/narrow shoulders
키가 크다	to be tall
키가 작다	to be short
마르다	to be skinny
날씬하다	to be slender
뚱뚱하다	to be fat
다리가 길다/짧다	to have long/short legs
배가 나오다	to have a pot belly
얼굴	face
얼굴이 동그랗다	to have a round face
얼굴이 네모나다	to have a square face
코가 높다/낮다	to have a high/flat nose
눈이 크다/작다	to have big/small eyes
잘생기다	to be  good-looking
못생기다	to be bad-looking
보름달	full moon
젓가락	chopsticks
단춧구멍	buttonhole
운동화	sports shoes
구두	shoes
옷을 입다/벗다	to put on/take off clothes
신발을 신다/벗다	to put on/take off shoes
모자를 쓰다/벗다	to put on/take off a hat
안경을 쓰다/벗다	to put on/take off glasses
시계를 차다/풀다	to wear/unfasten a watch
장갑을 끼다/빼다	to put on/take off gloves
목도리를 하다/풀다	to put on/take off a muffler
가방을 메다	to shoulder a bag
가방을 들다	to take a bag
부츠	boots
평소	ordinary times/usually
형제	siblings
얼굴형	face shape
살이 찌다	to be chubby
보호하다	to look after
미아보호소	home for missing children
액세서리	accessories
세	age (honorific)
머리카락	hair
멀리서	from far away
알아보다	to recognise
실종	missing
당시	at that time
적히다	to be written down
목걸이	necklace
알아듣다	to understand
후사하다	to reward generously
천사	angel
호랑이	tiger
졸다	to doze off
늘다	to increase
줄다	to decrease
줄이다	to reduce
가늘다	to be thin
