처음 뵙겠습니다	Nice to meet you
애틀란타	Atlanta
선배	Senior; older student
이쪽	this (person here)
지난번	before/last time
말씀드리다	to tell
나중에	later
한국어과	department of Korean language
되다	to become
한국어교육학	Korean language education
전공하다	to major in
전공	major
이탈리아어	Italian
부탁드리다	to ask a favor (of a person who is older)
하노이 국립대학교	Hanoi National University
졸업하다	to graduate
경영학	business administration
꿈	dream
발음	pronunciation
연습	practice
글씨	handwriting
단어	word
보고서	report
준비	preparation
한국어문학	Korean language & literature
영어영문학	English language & literature
일어일문학	Japanese language & literature
중어중문학	Chinese language & literature
동아시아학	East Asian studies
역사학	history
심리학	psychology
사회학	sociology
법학	law
경제학	academic economics
신문방송학	mass communication
의학	medicine
공학	engineering
교사	teacher
교수	professor
강사	lecturer
대학원생	graduate student
번역가	translator
통역가	interpreter
관광 안내원	tour guide
기자	journalist/reporter
변호사	lawyer
기술자	engineer
사업가	businessman/-woman
고등학교	high school
사업	business
자동차	car
여행사	travel agency
대사관	embassy
(서울)지점	(seoul)branch
여행사를 차리다	to open a travel agency
국제변호사	international lawyer
꿈을 이루다	to realize one’s dream
어느새	already
글쎄 말이에요	I suppose you’re right
