주로	mostly
재즈 댄스	jazz dance
동아리	club
모형 자동차	miniature  car
멋있다	wonderful
한	about
재료	materials
인터넷	Internet
산꼭대기	mountaintop/summit
최고	best, greatest (pleasure)
암벽등반	rock-climbing
기타를 치다	to play the guitar
등산을 하다	to climb a mountain
그림을 그리다	to draw
컴퓨터 게임을 하다	to play computer games
우표를 모으다	to collect stamps
모형 자동차를 만들다	to assemble a miniature car
전시회에 가다	to go to an (art)exhibition
음악회에 가다	to go to a music concert
소설책	novel
시간이 나다	to be free
잡지	magazine
연주하다	to play (a musical instrument)
악기를 연주하다	to play a musical instrument
피아노를 치다	to play piano
바이올린을 켜다	to play the violin
하모니카를 불다	to play the harmonica
피리를 불다	to play the flute
첼로를 켜다	to play the cello
북을 치다	to beat a buk (Korean drum)
종이비행기를 접다	to make/fold a paper airplane
항상	always
언제나	all the time
자주	often
가끔	sometimes, occasionally
별로 안	hardly
거의 안	rarely
전혀 안	not at all
한두	one or two
두세	two or three
서너	three or four
네댓	four or five
대여섯	five or six
예닐곱	six or seven
건강에 좋다	healthy
경치가 아름답다	(the) scenery to be beautiful
즐겁다	to be pleasant/happy
기분이 좋아지다	to feel better
소리	sound
여러 가지	various things
느끼다	to experience/to feel
선수	(professional) -player
x살	x years old
연필	pencil
선물하다	to present
