손을 베다	to be cut
바르다	to apply
어디 봅시다	let's see
살짝	slightly
드리다	to give (to the person older than the speaker)
상처	injury
여러 번	many times
소독을 하다	to disinfect
얼굴에 뭐가 나다	to come out on the face
최근	recently
화장품	cosmetics
여드름	pimple/acne
청소년	youth/juveniles
나이가 들다	to become old
때문에	because of
처방하다	to prescribe
연고	ointment
아무 것도	nothing
체하다	to have indigestion
뭔가	something
손바닥	palm
가운데	the middle/the center
소화가 되다	to be able to digest
빠르다	to be quick
방법	method
다치다	to get injured
손을 데다	to be burned
손이 붓다	to swell
발목을 삐다	to sprain one's ankle
다리가 부러지다	to break one's leg
상처가 나다	to get a wound
피가 나다	to bleed
여드름이 나다	to have a pimple on face
피부가 가렵다	to be itchy
따갑다	to be pricking
주사를 맞다	to get injections
밴드를 붙이다	to put on a bandaid
붕대를 감다	to apply a bandage
파스를 붙이다	to put on a poultice
깁스를 하다	to wear a plaster cast
반창고를 붙이다	to apply a plaster
찜질을 하다	to apply a hot/cold pack
주무르다	to massage
꽉 누르다	to press down hard
찬물	cold water
손을 담그다	to dip one's hands
양말	socks
생리통	menstrual cramps/PMS symptoms
얼음주머니	ice bag
소독약	disinfectant/antiseptic
속이 답답하다	to feel bloated
새로	newly
스트레스를 받다	to have stress
새벽	dawn
꽃가루	pollen
알레르기	allergy
식후	after your meal
식전	before your meal
밀가루	flour
막	just
뛰다	to run
우선	first of all
온몸	all over the body
돌리다	to flip
다행히	fortunately
굽이 높다	to be high-heeled
무조건	unconditionally
약간	a little bit
특별하다	to be special
치료법	remedy/treatment
열을 식히다	to cool the heat
불	fire
위험하다	to be dangerous
흐르다	to be running
알코올	alcohol
날아가다	to evaporate
집을 구하다	to look for a house
방금	in no time
