사 개월	four months
고시원	small studio for students
고생하다	to have a hard time
노력하다	to make an effort
익숙해지다	to get used to
친구가 생기다	to make a friend
즐거워지다	to become pleasant
(시간이) 되다	(time) to pass (1)
(시간이) 흐르다	(time) to pass (2)
(시간이) 지나다	(time) to pass (3)
전통 문화	traditional culture
연예인	entertainer
기숙사	dormitory
하숙집	boarding house
원룸	studio
물가	prices
물가가 내리다	(prices) to decline
이해하다	to understand
즐기다	to enjoy
길을 모르다	not to know how to go (somewhere)
경험을 하다	to experience
날마다	every day
남다	to remain
정확하다	to be correct
실력을 늘리다	to improve
치다	to type
동아리에 가입하다	to join a club
향수병	homesickness
서투르다	to be clumsy
아주머니	(old) lady
힘내다	to cheer up
안암동	Anam-dong (district)
유학생	international student
방송	broadcast
청춘	youth
마음이 따뜻하다	to be heart-warming
응원하다	to support
신청하다	to ask for
남미	South America
동양	the Orient
관심을 갖다	to have an interest in
돈을 모으다	to save money
따라하다	to follow
학기	semester
여기저기	here and there
