곧	soon
규칙	a rule
나중에	after; later
맞춤법	an orthography; the rules of spelling
모자라다	to be short of / lacking / deficient in
문장	a sentence
바보	a fool; an idiot; moron
부끄럽다	to be shameful; to be shy; to be embarrassed
설명	an explanation; description
심하다	to be severe; to be serious
억양	an intonation; accent
이상하다	to be strange; to be odd
작문	a composition
졸다	to doze off; to fall asleep
주의하다	to notice; to take care; to watch out; to be careful
청바지	blue jeans; denim
쳐다보다	To look at; to stare at; to gaze
초	a second
한마디	a word; remark
항상	always
냄새가 나다	to smell of; to smell like; to smell
방귀를 뀌다	to let a fart; to break wind
방해가 되다	to get in the way; to block
사전을 찾다	to look up in a dictionary
오해를 받다	to be misunderstood
자신이 있다	to be confident of
코를 막다	to hold one's nose
화를 내다	to get angry / mad
