갈색	brown
길이	length
남방셔츠	a pattern shirt; button down shirt
둘러보다	to look around
디자인	design
매장	a shop; a store
보라색	violet; purple
분홍색	pink
블라우스	a blouse
사이즈	size
색상	color
성실하다	to be sincere; to be hard working
세일하다	have a sale; on sale
소매	a sleeve
수선하다	to mend; to repair; to alter
수수하다	to be plain; to be ordinary looking
숙녀복	women's clothing
스웨터	a sweater
신사복	men's wear
신상품	new product
아동복	children's clothing
연두색	light green
연하다	to be light
올가을	this autumn; this fall
원피스	a dress
은색	silver
잠시	a short while; for a while
재킷	a jacket
적당하다	to fit properly; good enough; fitting; suitable
젊다	be young
정도	degree
정장	suit
조끼	vest
진하다	dark
참다	to endure; to bear; to tolerate
첫인상	first impression
추천하다	to recommend
치수	size
탈의실	a fitting room; dressing room
포장하다	to pack (up); to wrap
하늘색	sky blue; light blue
할인매장	a discount store; outlets
화려하다	to be colorful; to be splendid; to be vibrant
회색	gray; grey
꼭 끼다	to be tight
나이가 들다	to become old; grow old; age
다이어트를 하다	to be on a diet
딱 맞다	to fit perfectly; to fit well
스트레스를 받다	to be under stress; to be stressed out
흰색	white
검정색	black
어울리다	to socialize with; associate with; hang out; get along with
색깔	color
