가난하다	to be poor
건축가	an architect
게으르다	to be lazy
결과	a result
공상	a fancy; thoughts; dreams
과거	the past
남	others; other people
능력	an ability; potential
도깨비	a hobgoblin; a troll; monster
동화	a fairy tale
두 번째	the second
들어주다	to grand a request; to answer a person's prayer
땅	a land; ground
러브스토리	love story
목숨	life
몰래	secretly; quietly
무인도	a desert island
반대하다	to be against; to be opposed to
반찬	a side dish
발표	an announcment; a presentation
백만장자	a millionaire
버리다	to throw away
보석	jewelry; a gem-stone
부부	husband and wife; married couple
부지런하다	to be diligent; hard working
불행하다	to be unhappy; to be miserable
빌다	to pray
빛나다	to shine; to glitter; to sparkle
사라지다	to disappear
상상	an imagination
설문조사	a survey
소망	desire; wish
소원	desire; wish
순대	a sausage made of bean curd and green-bean sprouts stuffed in pig intestine
식탁	a table; a dining table
아가씨	a young lady; an unmarried lady
연예인	an entertainer; a celebrity
외모	appearance
요정	a fairy
용서하다	to forgive
이루다	to accomplish; to fulfill; to achieve
이루어지다	to be accomplished
이웃집	a neighbor's house
인터뷰	an interview
재산	property
조사	an investigation
주먹	a fist
짓다	to build
참가하다	to participate
초능력	supernatural power
추측하다	to guess
타임머신	a time machine
한턱내다	to stand treat
감동을 받다	to be impressed; to be moved; to be inspired
마음을 읽다	to read someone's mind
소원을 들어주다	to grant a wish; to hear a prayer
인터뷰를 하다	to have an interview; to conduct an interview
잔소리를 하다	to give a scolding
주의를 주다	to call aside; to warn
후화가 되다	to regret
나타나다	to appear; to come out
