가요쇼	a pop song program
관광버스	a tour bus
교양	the educational
내용	the content
다양하다	to be various
다큐멘터리	a documentary
당구장	a billiard hall; a pool room
대본	a script
반복하다	to repeat; to recite; to redo
방송국	a broadcasting station
방송하다/방송되다	to broadcast; to be broadcasted; to be aired
방영하다/방영되다	to televise; to be televised
별로	mediocre; average; unexceptional; unremarkable
보도	a media/live/press coverage
수학여행	a school trip; field trip
스포츠 중계	a sports broadcasting
시사	current events
영상	a video; a slide show
오락	an entertainment
유용하다	to be useful; parctical; convenient
유행어	fad words; trending words
일일 드라마	a daily soap opera
자막	a subtitle
자정	the midnight
정오	the noon
존댓말	an honorific form
주말 드라마	a weekend soap opera
줄거리	a plot; summary
케이블 방송	a cable TV
코미디쇼	a comedy show
퀴즈쇼	a quiz show
프로그램	a program
토론	a discussion
학습	learning; education
관심을 가지다	to be interested; to be attentive; to be intrigued
예를 들다	to give examples
재미를 맛보다	to have fun
후보에 올라오다	to be nominated
