간접경험	a indirect experience
개봉하다	to release a movie
구별하다	to distinguish
근심	a worry
녹화방송	pre recorded show
뉴스 진행자	an anchor
다녀오다	to go and come back
단점	a defect; flaw
따라하다	to repeat after somebody; to copy somebody
독	the poison
바보상자	an idiot box
방송국장	a station manager
방송기자	a television reporter
방송작가	TV screenwriter
뺏기다	to be deprived of; to be taken away
사회자	MC
생방송	a live broadcast
시청자	a viewer
시청하다	to watch TV
아나운서	an announcer; TV show host
앨범	a record; CD album
어떡하다	What should I do?
연기자	a TV actor/actress
연속극	a sopa opera
연출가	a program director
잊다	to forget
장점	a strong point; beneficial effect; merit; advantage
재방송	a rerun
중계방송	a relay broadcast
지식	a knowledge
채널	a channel
청소년	a teenager
추천하다	to recommend
출연하다	to appear in a movie / on TV; to be in a movie / on TV
평균	an average
활동	an activity
행동	an action
스트레스가 풀리다	stress relieved
스트레스를 풀다	to relieve stress
영향을 주다	to influence
지갑이 얇아지다	not have a lot of money; short of money
채널을 돌리다	to turn the channel; to change the channel
약하다	to be weak; to be feeble; to be light 
시청률	a program rating
