가슴	the chest
강습	a lesson
전망증	forgetfulness; dementia
구부리다	to bend
그리다	to draw
그만두다	to give up; to quit
끝	the edge
내리다	to let down; to put down; to take down
돌리다	to swing
등	the back
멈추다	to stop
미리	beforehand; in advance
바깥쪽	the outside
반대쪽	the other side
벌리다	to spread
불면증	insomnia
뻗다	to stretch
소화불량	indigestion
숙이다	to bend
스포츠 댄스	the dance sports
실내 체조	indoor gymnastics
안쪽	the inside
올리다	to raise
요가	the yoga
운동부족	the lack of exercise
원	a circle
의욕	the will; determination; will power
젖히다	to lean
탈모증	alopecia
턱	the jaw; the chin
펴다	to stretch; to open
피로	that fatigue; exhaustion; tiredness
가슴을 펴다	to straighten oneself up
고개를 들다	to raise one's head; to lift one's head; to chin up
깍지를 끼다	to fold one's hand
힘을 빼다	to relax
힘을 주다	to strain; to flex
