거짓	a lie
공익광고	a public service advertisement; public service announcement
과장하다	to exaggerate
괴롭다	to be painful; to be miserable
기능	a function
닫힘 버튼	a close button
당기다	to pull
마찬가지	the same
만족하다	to be satisfied; to be pleased
매진되다	be sold out
사용 방법	user guide; user manual
상품명	a trade name; product name
숨쉬기	breathing
양보하다	to yield; to hand over
인구	a population
장애인	a handicapped person
절약하다	to economize; to cut costs; to save; to budget
정보	information
제품	a product
즐기다	to enjoy
특징	a characteristic
해결하다	to resolve
홈쇼핑	paid programming informercial
회사명	a company name
도움이 되다	to be of help; to help; to assist; to do someone a favor
몸이 불편하다	to be out of sorts; to be sore; to be uncomfortable; to ache; to be aching; to be in pain
믿다	to believe; to trust
