개업	the opening of business
게시판	a bulletin board
구인	a job offer; job listing
구직	job hunting
급구	urgent job offer; immediate start jobs
길거리	a street
룸메이트	a roommate
방세	a room rent
부동산	a real estate agency
분실물	a lost article
사례금	a reward
실제	the truth
예전	the old days
자취방	a room with cooking facilities
적다	to write down
전단지	a flyer
조건	a condition
중고품	secondhand goods
할인마트	a discount store; outlet store
할인쿠폰	a discount coupon
확인하다	to check
관심을 끌다	to draw interest; to draw attention
문을 열다	to set up; to open up the door
별 일 없다	nothing much
할인을 받다	to get a discount
과장하다	to exaggerate
