119 구급대	emergency services
X선 사진	X-ray photograph
가루약	crushed pills; pulvis
간단하다	to be simple; to be easy
넘어가다	to swallow
넘어지다	to fall over; to stumble; to collapse
막다	to block; to stop
무릎	knee
물약	syrup form of medicine
미끄럽다	to be slippery
바르다	to apply medicine
반드시	surely; certainly
반창고	bandaid
발목	an ankle
부딪치다	to hit; to bump into
부러지다	to break bone
뼈	bone
삐다	to sprain
상황	situation; condition; circumstance
소독하다	to disinfect
솜	cotton pad
씻다	to wash
안약	eye drops
한두 방올	one or two drops
알약	pills; tablets
어쩌다가	by chance; by accident
연고	ointment; topical medicine
올려놓다	to put on top of
응급실	emergency rom
응급처치	first aid
이마	forehead
일회용	disposable
증세	symptom
찜질하다	to foment; to ice; to put a pack on
차갑다	to be cold
콧구멍	nostril
팔꿈치	elbow
휴지	tissue
목이 터지다	to speak; to burst out of one's mouth
목이 빠지다	to eagerly wait for
빼꼽이 빠지다	to laugh; to burst; to laugh out loud
상처가 나다	to be wounded; to get wounded
진료를 받다	to receive treatment; to get treatment; to see a doctor
피가 나다	to bleed
피가 흐르다	to bleed
통증	the pain
등	the back
흐르다	to flow
