난방	heat function; heat conditioned
냉방	cool function; air conditioned
넓히다	to widen; expand
높이다	to make something higher; to lift
달다	to hang; to put up
문손잡이	doorhandle; door knoob
문의하다	to inquire; to ask
벽지	wallpaper
변기	a toilet
보수센터	a repair center
보일러	a heater
부품비	parts cost
비용	cost
샤워기	shower head
샤워실	shower booth
설명서	manual
세면대	bathroom sink; basin
수도	faucet
수도꼭지	faucet knob; handle
수리 센터	a repair center
싱크대	kitchen sink
안심하다	to relax; relieved
없애다	to remove; to eliminate; to get rid of
오래되다	to be old; to be aged
이층침대	a bunk bed
잠기다	to be locked; be fastened
전기	electricity
전구	light bulb
형광등	the fluorescent light
전등	a light
줄이다	to reduce; to decrease
집수리	the repair of a house
책장	a bookcase
천장	a ceiling
첫인상	a first impression
커튼	a curtain
포함하다	to include
푸르다	to be blue; to be green
물을 내리다	to flush a toilet
물이 새다	to be leaking water
물이 흐르다	to be leaking water
불이 들어오다	the light goes on; turn on
전구가 나가다	the light bulb is burnt out; goes out
전구를 갈아 끼우다	to change a light bulb
