경제신문	financial newspaper
금지하다	to ban; prohibit
기사	an article
기자	a reporter; journalist
늘다	to increase; rise
더욱	much more
독자	a reader
두 배	double
봉사활동	volunteer activity
사회생활	social life
소중하다	to be important; to be precious; to be valuable
쇼핑1번지	the most popular shopping place
스포츠신문	sports newspaper
신문배달	a newspaper deivery
아끼다	to save
영자신문	an english newspaper
유학생	an international student
의견	opinion
인터넷신문	internet newspaper
일간신문	a daily newspaper
전체	the whole of
정기구독	a subscription
주간신문	a weekly newspaper
줄다	to decrease
찬성	approval; agreement
축제	a festival
출퇴근	commuting time; rush hour
파란불	green light
학보	school newspaper
해수욕장	beach resort; beach
고생이 심하다	to have serious trouble; difficulty
기회를 놓치다	to miss an opportunity; a chance
습관을 기르다	to form a habit; to make a routine; to get into
시간을 버리다	to waste time
시간을 뺏기다	to spend time; to steal time; to be taken
신문을 받아 보다	to get the newspaper
유행에 맞다	to be trendy
인기가 높아지다	to become popular
인기가 많다	to be very popular
인기가 있다	to be popular
친구가 되다	to become friends
예상하다	to anticipate; to expect; to predict; to forsee
