거절하다	to refuse; to reject
경제	economy
경제면	business section
계약서	written contract
고속도로	expressway; highway
고아원	an orphanage
공과대학	an engineering college
공연	performance; show
교통마비	traffic congestion; heavy traffic
국제면	international section
당선	appointed; elected
마음고생	distress; suffering
망하다	to go bankrupt; to bust; to fail
문화면	culture section
발견하다	to discover; find out
분실신고	loss; missing report
빗길 사고	wet road acident; slippery road car crash
사회면	general news section
선거	election
시민	citizen
신문사	newspaper publishing company
안되다	to be sorry; to to work
얻다	to get; to gain
연예면	entertainment section
예정	scheduled; planned
위로하다	to console; comfort
음악하다	a concert
장맛비	monsoon
전세금	security deposit
전시회	an exhibition
정치면	political section
주로	mostly; mainly
택시기사	taxi driver
화재	fire
화제	a topic
희망	hope
경제 사정이 안 좋다	to be in bad financial condition
기사가 나다	a news article came out; was published
대비를 하다	to brace; to prepare; to get ready
마음을 놓다	to be relieved
먹고살다	to live on
사람을 뽑다	to hire a person
줄을 서다	to line up
지진이 일어나다	the earthquake is occurring
회사 / 가게문을 닫다	to shut down; go out of business
힘을 얻다	to be encouraged by; to get support
