건축학부	the department of architecture
경영학과	the department of management
경제금융학부	the division of economics and finance
관광학과	the division of tourism
그만두다	to stop; to quit; to give up
등록	registration
물리학과	major in physics
반장	class president
삶	life
서류 접수	submitting
서류 제출	submitting
성적증명서	academic transcript
수학과	major in mathematics
신문방송학과	the department of mass communication
역사학과	the department of history
연극영화학과	major in theater and cinema
영어영문학과	department of english language and literature
우수하다	to be excellent; outstanding
원서	application
이력서	a resume
입학상담실	admissions office
자기소개서	personal essay; personal statement
자라다	to grow
자신감	confidence
장남	the oldest son
전공선택	major selection; declare a major
전공하다	to major in; to specialize in
전문가	a specialist
정보통신학부	the department of information and communications
지원서	application
지원하다	to apply
진로	career
책임감	sense of responsibility; liability
철학과	the department of philosophy
추천서	the letter of recommendation
컴퓨터공학과	the department of computer sciences and engineering
포기하다	to give up
학과	department
학문	study
한국어 교육과	education of korean language
합격자 발표	decision notification; notification of acceptance
허락하다	to permit; to allow
화학과	major in chemistry
훨씬	much; far
흥미	interest
합격자 발표가 나다	to notify; to announce a decision
리더십	leadership
리더십을 키우다	to grow leadership; to develop leadership
면접시험을 보다	to take interview
서류를 접수하다	to submit documents
잘 생각하다	to think hard; to think carefully
장래성이 있다	to have prospects for the future; to have a future
지원서를 받다	to receive application
지원서를 쓰다	to write application
진학을 하다	to enter school; university
최선을 다하다	to do one's best
우수하다	to be excellent
토론	discussion: debate
책임감	sense of responsibilty
