간편하다	to be simple; to be convenient
검색하다	to search
꽤	quite
다운로드	a download
동영상	video
로그인	log in; sign in
매번	always; all the time; time after time
무료	free (of charge)
불법	illegal; unlawful
사이트	a site
수면부족	lack of sleep
스스로	oneself; by oneself
아이디	id; identification; sign in id
예민하다	to be sensitive; to be sharp
옮기다	to move; to shift
우울하다	to be gloomy; to be sad; to feel low
유료	a paid thing
전문가	a specialist
주위	surrounding
중독	addiction
중독되다	to be addicted
중독자	an addict
집중력	concentration
집중하다	to concentrate
채팅	a chatting; online chatting
택배	postal service; parcel delivery service; package
현대	modern times
홈페이지	a homepage; a website
회원가입	the joining of membership; sign up
방해를 하다	to interrupt
짜증이 나다	to be irritated; to be annoyed
