가습기	a humidifier
개다	to clear up; to become clear; to stop
건조하다	to be dry
그치다	to stop
꽃구경	flower viewing
내기	a bet
닦다	to clean; to wash
딱	just; closely
맑다	to be clean; to be pure; to be clear
변덕스럽다	to be capricious; to be inconsistent
변화	change; transition
선선하다	to be cool
습도	humidity
시합	a game; a match
신기하다	to be amazing
심하게	terribly; particularly
쌀쌀하다	to be chilly
야외활동	outdoor activity
외투	an overcoat; jacket
일교차	daily temperature range; difference
정리하다	to arrange; to clean up
주간	a weekly
차츰	gradually; slowly; by
창피하다	to be shamed; to be embarrassed
체육대회	an athletics ompetition
틀림없이	certainly; surely
포근하다	to be mild
풀리다	to become warmer
하늘나라	heaven
햇볕	sunshine
화창하다	to be clear; to be sunny; to be bright
확률	probability
숙제가 밀리다	behind in homeworks
있는 힘을 다하다	to do everything in one's power
힘이 세다	to be strong; to be powerful
시간이 되다	time goes by; time passes
