거만하다	to be arrogant
겸손하다	to be modest; to be humble
기본	basics
까다롭다	to be particular; to be fastidious
노약자 석	seating for the handicapped; the elderly; and pregnant women
두렵다	to be afraid of; to be scared of; to be terrified
뚫어지다	to stare at
따님	a daughter
맞담배	smoking to another person's face
사생활	a privacy
상대방	the other party; the opposite team; party; side
아드님	a son
약주	an alcoholic drink
이외에도	else
이웃	a neighbor
웃어른	a senior; an elder
윗사람	a senior; an elder
잘해주다	to be nice to
진지	a meal
큰절	deep bow
편찮으시다	to be unwell; to be sick; to be ill
피하다	to avoid
화해하다	to make up with somebody; to make peace with somebody
모시고 가다	to accompany a senior
발을 밟다	to step on foot
손을 흔들다	to wave one's hand
여쭈어 보다	to ask a senior
입맛에 맞다	to be palatable; to be one's taste
예의가 없다	discourteous; impolite
예절을 지키다	to observe the proprieties; manners; etiquette; to be polite
예의를 지키다	to observe the proprieties; manners; etiquette; to be polite
예절이 바르다	to have nice manners; to be polite
예의가 바르다	to have nice manners; to be polite
자리를 양보하다	to give one's seat to somebody
할 수 없이	unavoidably; unfortunately
허리를 굽히다	to bend down; forward
