결혼식장	a wedding hall
기타 지역	the other area; region
남미	south america
당황하다	to be embarrassed; surprised
대부분	most of
돌잡이	an event that a baby grabs something on his or her first birthday
동아시아	east asia
동양	the orient; the east
막내	the youngest
말실수	a slip of the tongue; unintentional utterance
볼	a cheek
북미	noth america
불쾌하다	to be unpleasant; to be uncomfortable
뽀뽀	kiss
서양	the occident; the west
시계 방향	a clockwise direction
신사	a gentleman
실례	discourtesy; bad mannered; rude; impolite
아프리카	africa
완전히	completely; perfectly
유럽	europe
이와 같이	like so
인사말	salutation; greeting
입맞춤하다	to kiss
자세	a posture; a pose
장례식	a funeral
전통 예절	a traditional manners
중동	the mideast; the middle east
중앙아시아	central asia
차리다	to set up the table
출퇴근시간	a commuting time; hour
포크	a fork
현대 예절	a modern manner
호주	australia
기분이 상하다	to be offended; to feel bad
문상을 가다	to go to offer one's condolences
예의 맞다	to be proper
예절에 맞다	to be proper
오해가 생기다	to have a misunderstanding; to misunderstand
자리에서 일어나다	to stand up; to get up
