가방	bag
기숙사	dormitory
대학교	college, university
도서관	Library
유니온 빌딩	Union Building
시계	clock, watch
식당	restaurant
안	the inside
앞	the front
뒤	the back, behind
어디	what place, where (question word)
우체국	Post office
위	the top side, above
밑	the bottom, below
옆	the side, beside
의자	chair
책	Book
책방	bookstore
책상	desk
캠퍼스	campus
학교	School
학생회관	student center
층	floor, layer
있다	to be (existence)
저어	uh (expression of hesitation)
에	in, at, on (indicates static location)
숙제	homework
아침	breakfast; morning
음식	food
커피	coffee
괜찮다	to be all right, okay
넓다	to be spacious, wide
많다	To be many, much
맛있다	to be delicious
싸다	to be cheap
어떻다	to be how
좋다	to be good, nice
크다	to be big
아주	very, really
참	really, truly
가다	to go
먹다	to eat
앉다	to sit
알다	to know
하다	to do
어	oh
~어요/아요	polite ending
그리고	and
