경제학	economics (major)
교과서	textbook
교실	classroom
내일	tomorrow
반	class (the students)
사전	dictionary
수업	class, lesson, course
시간	time
여자	woman
오늘	today
우산	umbrella
질문	question
집	home, house
친구	friend
컴퓨터	computer
누구	who
인사하다	to greet
읽다	to read
없다(없어요)	to not be (existence), to not have
있다 (있어요)	to have
재미있다 (재미있어요)	to be interesting, fun
그런데	but, however, by the way
~(으)세요	Honorific Polite Ending
공부(하다)	study
남자	man
시험	test, exam
역사	history
주스	juice
텔레비전	television
마시다	to drink
만나다	to meet
보다(보세요)	to see, look, watch
지내다(지내세요)	to get along
그래서	so, therefore
그럼	if so; then (contraction)
매일	every day
어떻게	how
열심히	diligently
요즘	these days
잘	well, skillfully, properly
지금	now
들	plural particle
을/를	object particle
맛없다	to be tasteless, not delicious
재미없다	to be uninteresting
동양학	Asian studies
언어학	linguistics
교육학	education
물리학	physics (major)
생물학	biology
기계 공학	mechanical engineering
전기 공학	electronic engineering
음악	music
피아노	piano
건축학	architecture (major)
법학	law (major)
