날씨	weather
말	speech, words
버스	bus
볼펜	ball point pen
비행기	airplane
연필	pencil
자전거	bicycle
지하철	subway
차	car
한인타운	Korea town
까지	up to (location)
(으)로	by means of
에서	from (location)
쯤	about, around
걸리다	to take time
살다	to live
쓰다	to write
가깝다	to be close, near
덥다	to be hot (weather)
멀다	to be far
쉽다	to be easy
어렵다	To be difficult
춥다	to be cold
좁다	to be narrow
보통	usually
얼마나/얼마	how long/how much
조금	a little
시간	hour (duration)
하루	one day
수영	swimming
수영장	swimming pool
어제	yesterday
음악	music
전화	telephone
주말	weekend
테니스장	tennis court
파티	party
모르다	to not know, be unaware of
일어나다	to get up
바쁘다	to be busy
너무	too much
못	cannot
안	do not
왜	why
지난	last, past
~었/았/ㅆ	past tense
