계절	season
꽃	flower
극장	movie theater
나라	country
내년	next year
다음	next, following
대학원	graduate school
방학	school vacation
브로드웨이 극장	Broadway theater
약속	engagement; promise
액션 영화	action movie
여름	summer
여행	travel
영화	movie
이스트 홀	East Hall
코미디	comedy
받다	to receive
아마	probably, perhaps
자주	often, frequently
정말	really
참	by the way
무슨	what, what kind of
어느	which
~(으)ㄹ 거예요	probability
가을	autumn, fall
겨울	winter
마트	mart
봄	spring
설거지	dishwashing
신문	Newspaper
심리학	psychology
이야기	talk, chat
전공	major
주	Week
준비	preparation
청소	cleaning
크리스마스	Christmas
흐리다	To be cloudy
보내다	to spend time
장(을)보다	to buy one's groceries
가끔	sometimes, occasionally
많이	much, many
서로	each other
~고	and (clausal connection)
