데	place
동부	east coast
막내	youngest child
바지	pants
밤	night
부엌	kitchen
셔츠	shirt
형제	sibling(s)
첫	first
다르다	to be different
피곤하다	to be tired
결혼하다	to get married
기다리다	to wait
자라다	to grow up
태어나다	to be born
아직	still; yet
까지	including
째/번 째	ordinal numbers
~겠	intention; will (conjecture)
~어서/아서	clausal connective (sequential)
눈	eyes; snow
색	color
안경	eyeglasses
얼굴	face
한복	traditional Korean dress
형님 (honorific)	male's older brother
끼다	to wear (glasses, gloves, rings)
나오다	to come out
다니다	to attend
닮다	to resemble; take after; look like
쓰다	to wear headgear
입다	to wear; put on (clothes)
(이)랑	with (colloquial)
까맣다	to be black
노랗다	to be yellow
빨갛다	To be red
키가 크다	to be tall
키가 작다	to be short
파랗다	to be blue
하얗다	to be white
또	and; also; too
오래	long time
어머	oh my!
~네요	surprised reaction
~(으)ㄴ	noun-modifying form (past)
노랑/노란색	yellow
하양/하얀색	white
까망/까만색	black
빨강/빨간색	red
파랑/파란색	blue
초록색	green
주황색	orange (color)
분홍색	pink
보라색	purple
밤색	brown
회색	gray
