도시	city
몸조리	care of health
엄마	mom
감기에 걸리다	to have/catch a cold
돕다	to help
바꾸다	to change, switch
빨래하다	to do the laundry
부치다	to mail (a letter, parcel)
비(가) 오다	to rain
빌리다	to borrow
빌려주다	To lend
실례하다	to be excused
배(가) 고프다	to be hungry
나중에	later
다시	again
여보세요	hello (on the phone)
이따가	A little later
이젠	As for now
~(으)ㄹ 게요	I will (volition or promise)
~어/아 주다	do something for another's benefit
~어/아야 되다	must (obligation or necessity, passive)
그동안	meantime
뉴스	news
메시지	message
반	half (e.g., 30 min)
비	rain
사모님 (honorific)	someone's wife
신발	shoes
여보	honey, dear
인터뷰	interview
새	new
시끄럽다	to be noisy
남기다	to leave (a message)
돈이 들다	to cost money
들어가다	to enter
부탁하다	to ask a favor
그만	Without doing anything further
때문에	because of
잠깐만	for a short time (3 syllables)
~겠	would (intention)
물가	cost of living
발	Foot
