그림	picture, painting
기분	feeling
답	Answer
록	Rock music
바이올린	Violin
서비스	Service
연주(하다)	musical performance
잠	sleep
재즈	jazz
취미	Hobby
클래식	classical music
헤드폰	headphones
보다	than
(이)나	or (with nouns)
그리다	to draw
틀다	to turn on, switch on, play (music)
더럽다	to be dirty
편리하다	to be convenient, handy, easy
가장	the most
덜	less
새로	newly
중에서	between, among
~(으)면	if
~는 것	(an act of) ~ing
기타	Guitar
대답	Answer
때	time
악기	Musical instrument
요리	Cooking
음악회	concert
중학교	middle school
축구	soccer
태권도	Korean martial art (Taekwondo)
피아노	piano
한글	Korean alphabet
심심하다	To be bored
어리다 (어렸을)	to be young
스키 타다	to ski
조심하다	to be careful
치다	to play (piano, guitar)
특히	particularly
~(으)ㄹ 줄	how to
