계좌	account
공예품	handicraft item
길	way, street
몸	body
병원	hospital
성적	grade, mark, result
세트	a set
소포	parcel
수저	spoon and chopsticks
신분증	identification card
유학생	student abroad
인사동	Insadong
전통	tradition
젓가락	chopsticks
직원	staff, employee
하루 종일	all day
학비	tuition
바빠지다	to get busier
생기다	to be formed
잊다	to forget
졸리다	to feel sleepy
(돈을) 찾다	to withdraw money
익숙하다	to be familiar
편안하다	to be comfortable
우연히	by chance
항상	always
혹시	by any chance
~거든요	you see (because)
~는 길이다	(be) on one's way
숟가락	spoon
등기	registered mail
보통	regular
봉투	envelope
사흘	three days
상자	box
영수증	receipt
우체통	postbox
우편	mail
이틀	two days
적응(하다)	to adapt
정도	approximate
졸업식	commencement
종이	paper
주소	address
핸드폰	cellular phone
가져가다	to take, carry
깨지다	to break
도와 드리다	to help (honorific)
들어 있다	to contain
사용하다	to use
서다	to stand
적다	to write down
똑같다	to be identical
비슷하다	to be similar
정확하다	to be accurate
친하다	to be close (to)
특별하다	to be special
(이)요	It is [noun].
~(으)려면	if...intends to
~어/아야지요	expresses obligation
