가구	furniture
가구점	furniture store
거실	living room
배달	delivery
사무실	office
소개(하다)	introduction
아주머니	middle-aged woman
옷장	wardrobe, closet
원룸	studio apartment
주인	owner
책장	bookshelf, bookcase
침대	bed
침실	bedroom
통화(하다)	phone call
하숙방	a room in a boardinghouse
하숙비	boarding expenses
하숙집	boardinghouse
너	you (plain form)
구하다	to search for
벗다	to take off
옮기다	to move, shift
지나가다	to pass by
부족하다	to be insufficient
친절하다	to be kind
반드시	surely, certainly
요새	these days
~(으)ㄴ/는 편이다	to tend to
~(으)ㄴ/는지 알다/모르다	to know/not know whether
~어/아	intimate speech style
아/야	vocative suffix
응	yeah
냉장고	refrigerator
만화방	comic book rental store
바닥	floor
사우나	sauna
사투리	dialect
세탁기	washing machine
소파	sofa
식탁	dining table
아르바이트	part-time job
연결(하다)	connection, link
운전 면허	driver's license
정리(하다)	arrangement
지갑	wallet
지방	region, district
찜질방	Korean dry sauna
청소기	vacuum cleaner
피시방	Internet cafe
넘어지다	to fall (down)
눕다	to lie down
돌아가다	to return (to)
사 먹다	to buy and eat
사귀다	to date
잠이 들다	to fall asleep
헤어지다	to break up
그립다	to miss, long for
신기하다	to be amazing
안전하다	to be safe
대충	roughly
방금	a moment ago
~(으)ㄴ/는 지 [ ] 되다	It has been [time span] since...
~다가	movement from one action/state to another
