,0,1
0,가운데,"center, the middle"
1,국내선,domestic flight
2,국제선,international flight
3,농구,basketball
4,무료,free
5,비자,visa
6,사실,"fact, truth"
7,손,hand
8,안부,regards
9,여권,passport
10,여행사,travel agency
11,예약(하다),reservation
12,오랫동안,for a long time
13,왕복,round-trip
14,외국,foreign country
15,장학금,scholarship
16,짐,"luggage, load"
17,출발(하다),departure
18,편도,one-way trip
19,표,ticket
20,다치다,to hurt
21,맞다,to be correct
22,싸다,"to pack, wrap"
23,알아듣다,"to understand, recognize"
24,이해하다,to understand
25,전하다,"to tell, convey"
26,가볍다,to be light
27,무겁다,to be heavy
28,곧,"right away, soon"
29,약,approximately
30,혼자,alone
31,~(으)면 되다,all one needs is
32,~게 되다,turn out that
33,걱정(하다),"worry, concern"
34,경주,Gyeongju
35,경치,"scenery, view"
36,기억(하다),memory
37,남,south
38,동,east
39,바다,sea
40,박물관,museum
41,북,north
42,서,west
43,섬,island
44,스트레스,stress
45,옛날,the old days
46,절,Buddhist temple
47,제주도,Jeju Island
48,호텔,hotel
49,와,wow
50,기쁘다,"to be joyful, glad"
51,멋있다,"to be stylish, cool"
52,아름답다,to be beautiful
53,유명하다,to be famous
54,인상적이다,to be impressive
55,남다,to remain
56,다니다,to get around
57,다녀오다,to go and get back
58,풀다,to relieve
59,아까,a while ago
60,주로,"mostly, mainly"
61,하나도,(not) at all
62,~(으)니까,expresses reason
63,~어/아 본 적(이) 있다/없다,expresses past experience
64,~었었/았었/ㅆ었,remote past
0,공기,air
1,구름,cloud
2,기온,temperature
3,낮,daytime
4,단풍,fall foliage
5,런던,London
6,설악산,Seorak Mountain
7,스파게티,spaghetti
8,야외,the outside
9,에어컨,air conditioner
10,외국어,foreign language
11,유럽,Europe
12,음식값,food cost
13,장마,rainy season
14,전화비,phone bill
15,콘서트,concert
16,하늘,sky
17,기다려지다,to be wished
18,(구름이) 끼다,to get cloudy
19,낮아지다,to get lower
20,내려가다,to go down
21,되다,"to function, work"
22,시원해지다,to become cooler
23,피다,to bloom
24,낮다,to be low
25,맑다,to be clear
26,지겹다,to be boring
27,계속,continuously
28,벌써,already
29,유난히,particularly
30,~잖아요,you know
31,~어/아지다,to become
32,고생(하다),hardship
33,난방,heating
34,데이트(하다),a date
35,라디오,radio
36,물건,merchandise
37,바람,wind
38,섭씨,Celsius
39,시합,"game, match"
40,야구(하다),baseball
41,야구장,baseball stadium
42,운동장,"schoolyard, field"
43,일기예보,weather forecast
44,잠실,Jamsil
45,프로,program
46,현재,the present
47,계속되다,to continue
48,불다,to blow
49,알리다,to inform
50,없어지다,"to disappear, become missing"
51,추워지다,to get colder
52,혼나다,to have a hard time
53,흐려지다,to get cloudy
54,더럽다,to be dirty
55,두껍다,to be thick
56,갑자기,suddenly
57,꼭,"surely, certainly"
58,대체로,"generally, mostly"
59,먼저,"first, beforehand"
60,~(으)ㄴ 다음에,after ~
61,~(으)면 좋겠다,I wish
62,~던,used to
0,계좌,account
1,공예품,handicraft item
2,길,"way, street"
3,몸,body
4,병원,hospital
5,성적,"grade, mark, result"
6,세트,a set
7,소포,parcel
8,수저,spoon and chopsticks
9,신분증,identification card
10,유학생,student abroad
11,인사동,Insadong
12,전통,tradition
13,젓가락,chopsticks
14,직원,"staff, employee"
15,하루 종일,all day
16,학비,tuition
17,바빠지다,to get busier
18,생기다,to be formed
19,잊다,to forget
20,졸리다,to feel sleepy
21,(돈을) 찾다,to withdraw money
22,익숙하다,to be familiar
23,편안하다,to be comfortable
24,우연히,by chance
25,항상,always
26,혹시,by any chance
27,~거든요,you see (because)
28,~는 길이다,(be) on one's way
29,숟가락,spoon
30,등기,registered mail
31,보통,regular
32,봉투,envelope
33,사흘,three days
34,상자,box
35,영수증,receipt
36,우체통,postbox
37,우편,mail
38,이틀,two days
39,적응(하다),to adapt
40,정도,approximate
41,졸업식,commencement
42,종이,paper
43,주소,address
44,핸드폰,cellular phone
45,가져가다,"to take, carry"
46,깨지다,to break
47,도와 드리다,to help (honorific)
48,들어 있다,to contain
49,사용하다,to use
50,서다,to stand
51,적다,to write down
52,똑같다,to be identical
53,비슷하다,to be similar
54,정확하다,to be accurate
55,친하다,to be close (to)
56,특별하다,to be special
57,(이)요,It is [noun].
58,~(으)려면,if...intends to
59,~어/아야지요,expresses obligation
0,가구,furniture
1,가구점,furniture store
2,거실,living room
3,배달,delivery
4,사무실,office
5,소개(하다),introduction
6,아주머니,middle-aged woman
7,옷장,"wardrobe, closet"
8,원룸,studio apartment
9,주인,owner
10,책장,"bookshelf, bookcase"
11,침대,bed
12,침실,bedroom
13,통화(하다),phone call
14,하숙방,a room in a boardinghouse
15,하숙비,boarding expenses
16,하숙집,boardinghouse
17,너,you (plain form)
18,구하다,to search for
19,벗다,to take off
20,옮기다,"to move, shift"
21,지나가다,to pass by
22,부족하다,to be insufficient
23,친절하다,to be kind
24,반드시,"surely, certainly"
25,요새,these days
26,~(으)ㄴ/는 편이다,to tend to
27,~(으)ㄴ/는지 알다/모르다,to know/not know whether
28,~어/아,intimate speech style
29,아/야,vocative suffix
30,응,yeah
31,냉장고,refrigerator
32,만화방,comic book rental store
33,바닥,floor
34,사우나,sauna
35,사투리,dialect
36,세탁기,washing machine
37,소파,sofa
38,식탁,dining table
39,아르바이트,part-time job
40,연결(하다),"connection, link"
41,운전 면허,driver's license
42,정리(하다),arrangement
43,지갑,wallet
44,지방,"region, district"
45,찜질방,Korean dry sauna
46,청소기,vacuum cleaner
47,피시방,Internet cafe
48,넘어지다,to fall (down)
49,눕다,to lie down
50,돌아가다,to return (to)
51,사 먹다,to buy and eat
52,사귀다,to date
53,잠이 들다,to fall asleep
54,헤어지다,to break up
55,그립다,"to miss, long for"
56,신기하다,to be amazing
57,안전하다,to be safe
58,대충,roughly
59,방금,a moment ago
60,~(으)ㄴ/는 지 [ ] 되다,It has been [time span] since...
61,~다가,movement from one action/state to another
0,거스름돈,change (money)
1,과일,fruit
2,귤,tangerine
3,도둑,thief
4,두부,tofu
5,배,pear
6,사과,apple
7,생선,fish
8,소리,"sound, noise"
9,약,medicine
10,우체부,postman
11,편의점,convenience store
12,누가,someone
13,뭐,something
14,어디,somewhere
15,언제,sometime
16,깎다,to cut down
17,다녀 오다,to go and get back
18,닫히다,to be closed
19,물다,to bite
20,물리다,to be bitten
21,뺏기다,to be deprived of
22,열리다,to open
23,잡히다,to be caught
24,팔리다,to be sold
25,행복하다,to be happy
26,어치,"worth, value"
27,~어/아 보이다,"to appear, look"
28,~어/아 있다,to be in the state of
29,계란,egg
30,고기,meat
31,당근,carrot
32,마트,mart
33,비누,soap
34,빵,bread
35,시금치,spinach
36,시장,market
37,야채,vegetable
38,양파,onion
39,우유,milk
40,잡채,japchae
41,치약,toothpaste
42,칫솔,tooth-brush
43,파,scallion
44,호박,"pumpkin, squash"
45,화장품,cosmetics
46,휴지,toilet paper
47,끓이다,to boil
48,넣다,to put in
49,들르다,to stop by
50,싸우다,to fight
51,울다,to cry
52,웃다,to laugh
53,원하다,to wish
54,집어넣다,to put something in
55,다양하다,to be diverse
56,~(으)ㄴ/는 데에,in/for ~ing
57,~어/아 가지고,because; by doing
0,관악산,Gwanak Mountain
1,남산,Nam Mountain
2,대중,the public
3,배터리,battery
4,서울대입구역,Seoul University Station
5,승차권,"ride pass, ticket"
6,신호등,traffic light
7,열쇠,key
8,올해,this year
9,요금,"fee, fare"
10,일기,journal
11,자동차,automobile
12,주차장,parking lot
13,중간,the middle
14,지하도,underpass
15,고장나다,to break down
16,서두르다,to hurry
17,세우다,"to stop, pull over"
18,잃어버리다,to lose
19,잡다,to catch
20,지키다,"to guard, protect"
21,아쉽다,"to be sorry, sad"
22,중요하다,to be important
23,바로,directly
24,개월,month (counter)
25,~기로 하다,decided to
26,~는/ㄴ다,plain speech style
27,약도,rough map
28,경찰,police
29,고속도로,"highway, freeway"
30,공사,construction
31,교통카드,transportation card
32,도움,help
33,등산객,mountain climber
34,마을 버스,town shuttle bus
35,매표소,ticket office
36,발매기,vending machine
37,사고,accident
38,술,alcoholic beverage
39,운,"luck, fortune"
40,인도,sidewalk
41,자연,nature
42,장소,"place, location"
43,차도,"street, road"
44,(교통) 표지판,(traffic) sign
45,환승(하다),transfer
46,횡단보도,crosswalk
47,(사고) 나다,"to happen, occur"
48,늘다,to improve
49,모이다,to gather
50,이용하다,to utilize
51,즐기다,to enjoy
52,외롭다,to be lonely
53,위험하다,to be dangerous
54,거의,almost
55,~다/라/자/냐고 하다,say that
56,아무리 ~어/아도,no matter how
0,구두,dress shoes
1,굽,heel
2,단어,vocabulary
3,마음,"mind, heart"
4,반값,half price
5,반바지,shorts
6,블라우스,blouse
7,샌들,sandals
8,스타일,style
9,원피스,(one-piece) dress
10,유행(하다),"fashion, trend"
11,자켓,jacket
12,정가,regular price
13,정장,"suit, formal dress"
14,치마,skirt
15,카메라,camera
16,현금,cash
17,벌,a piece of clothing (counter)
18,닫다,to close
19,(나이가) 들다,to gain age
20,(마음에) 들다,to be to one's liking
21,떠나다,to leave
22,(돈을) 벌다,to earn (money)
23,외우다,to memorize
24,높다,to be high
25,단정하다,to be neat
26,얇다,to be thin
27,필요하다,to be necessary
28,마침,"just, just in time"
29,아직도,"yet, still"
30,함께,"together, along with"
31,~(으)려고 하다,intend to
32,~기가 쉽다/어렵다,it is easy/difficult to...
33,가격,price
34,검정색,black
35,노란색,yellow
36,담배,cigarette
37,문제,problem
38,빨간색,red
39,(신용) 카드,credit card
40,와이셔츠,dress shirt
41,인기,popularity
42,점퍼,"jumper, jacket"
43,초록색,green
44,티셔츠,T-shirt
45,파란색,blue
46,하늘색,sky blue
47,흰색,white
48,그러면,"then, in that case"
49,고르다,"to choose, select"
50,뛰다,to run
51,맞다,to fit
52,모자라다,to lack
53,바뀌다,to be changed
54,어울리다,"to match, suit"
55,피우다,to smoke
56,밝다,to be bright
57,어둡다,to be dark
58,말고,not A but B
59,천천히,slowly
60,(으)로,item selected from many
61,~(으)ㄴ/는/(으)ㄹ 것 같다,it seems like
62,~어/아도 되다,expresses permission
63,남색,"navy blue, indigo"
