간호사	nurse
관계	relation
기침	cough
나뭇가지	tree branch
몸살	body ache
발표	announcement
방법	method, way
벽	wall
불행중 다행	stroke of good luck out of disaster
빗길	rainy road
사실	fact
소문	rumor
소식	news
소화	digestion
얘기	story; talk
열	fever
예약	reservation
응급실	emergency room
의사	doctor
위	stomach
이	tooth
이틀	two days
이틀치	amount for two days
자연 식품	organic food
진찰	medical examination, consultation
차 사고	car accident
치과	dentistry, dental department
코감기	nasal congestion
타코	taco
허리	waist
환자	patient
휴식	rest
급히	in a hurry, hurriedly
되도록	as much as possible
아무리	however (much), no matter how (much)
약간	a little
우선	first (of all)
잠시 후	after a while
특히	especially, particularly
하도	very, extremely
훨씬	by far
고치다	to cure, fix, repair
과식하다	to overeat
낫다	to recover from illness
놀라다	to be surprised
다치다	to be hurt
더러워지다	to get dirty
막다	to block
몸조리하다	to take good care of one's health
문병 가다	to visit a sick person
바라다	to desire, wish
병이 생기다	to get a disease
부러지다	to be broken
서다	to stop
예방하다	to prevent
입원하다	to be hospitalized, be in the hospital
졸리다	to be sleepy
줄이다	to reduce (something)
지키다	to keep, maintain
치료받다	to receive treatment, be treated for
치료하다	to treat
퇴원하다	to be discharged from the hospital
거북하다	to be uncomfortable
규칙적이다	to be regular
답답하다	to be stuffy
그만하다	to be neither more nor less
이상이 있다/없다	to be normal/abnormal
적당하다	to be appropriate, proper
충분하다	to be enough
바하	Bach
~군요	(exclamation)
~(으)려다가	while intending to do
~씩	each, respectively, apiece
~어치	fixed quantity
~었/았다가	did, and then...
