2남 1녀	two sons and one daughter
경쟁	competition
경쟁률	acceptance ratio
고3	high school senior
기자	reporter
다이어트	diet
면접	job interview
문학	literature
방송국	broadcasting station
별	star
부전공	minor, second major
분위기	atmosphere
성적	grade
식탁	dining table
실내장식	interior design
어른	adult
인기	popularity
인생	life
작가	writer
장녀	eldest daughter
재학	to be in school
적성	aptitude, ability, talent
전국	nationwide, throughout the country
졸업반	graduating senior
직업	profession, job, occupation
추천	recommendation
평균	average
프랑스식	French style
필기시험	written examination
누구나	anyone
고민하다	to worry
따다	to pick up, pluck
마르다	to be slim
맞다	to fit, suit
모집하다	to recruit
몰리다	to flock, swarm
무시하다	to ignore
붙잡다	to catch, hold
뽑다	to select, pick (single) out
사고를 내다	to have an accident
살리다	to save (one's life); to make good use of
생각하다	to consider, think
살찌다	to gain weight
선택하다	to choose
잘못하다	to make a mistake
지원하다	to apply for
쳐다보다	to look at
포기하다	to give up
풀어지다	to turn soft
후회하다	to regret
가능하다	to be possible
맞다	to be correct, right
미끄럽다	to be slippery
심하다	to be severe, keen, fierce
유리하다	to be advantageous, favorable
현명하다	to be wise
당분간	for the time being
마지막으로	finally, last
마치	as if
언젠가	someday
왜냐하면	because
원래	originally
하기야	in fact, indeed
~에 따라	according to
