,0,1
0,경기,game (sports)
1,낚시,fishing
2,냉수,cold water
3,녹화,recording
4,도움,"help (돕다 ""to help"")"
5,독서,reading
6,동료,colleague
7,마이크,microphone
8,만화,comic book
9,먼지,dust
10,모기,mosquito
11,미팅 파트너,(meeting) partner
12,박물관,museum
13,변덕꾸러기,capricious person
14,상품,prize
15,새벽,dawn
16,소나기,shower (rain)
17,소설,novel
18,씨름,traditional Korean wrestling
19,아기,baby
20,옆집,next door
21,오락,"recreation, pastime"
22,입장권,(admission) ticket
23,직장,place of work; job
24,추리,mystery; reasoning
25,취미 생활,hobbies (lit. hobby life)
26,퇴근,going home from work
27,현대인,modern people
28,핸드폰,cellular phone
29,(꽃을) 기르다,to grow (flowers)
30,(상품을) 타다,to win (a prize)
31,(스트레스가) 쌓이다,to become stressed
32,(스트레스가) 풀리다,to be relieved (of stress)
33,(스트레스가) 풀다,to relieve (stress)
34,(잠이) 깨다,to wake up
35,가벼워지다,to become lighter
36,갖다 놓다,to put
37,겹치다,to overlap
38,녹화하다,to record (a TV program)
39,놓치다,"to miss (miss a bus, etc.)"
40,모으다,to collect
41,비를 맞다,to be caught in the rain
42,빠지다,to fall into
43,신나다,to be excited
44,쓰러지다,to collapse from exhaustion
45,어쩔 줄 모르다,not to know what to do
46,이기다,to win over
47,이야기를 걸다,to talk to
48,한턱 내다,to treat (someone) to a meal or a drink
49,간단하다,to be simple
50,그만이다,to be enough
51,날씬하다,to be slim
52,상쾌하다,"to be refreshing, fresh"
53,이르다,to be early
54,커다랗다,to be big
55,공짜로,"for nothing, free"
56,그저,without any reason
57,되게,"extremely, very"
58,잘도,(also) well
59,주로,"mainly, usually"
60,끼리,"in-group, exclusively among themselves"
61,(이)나,or
62,(이)라도,or something (like that)
63,~거나,or
0,거리,"street, road"
1,거짓말,lie
2,고속도로,"highway, expressway"
3,국립,national (establishment)
4,금붕어,goldfish
5,나무,tree
6,놀이,game
7,대이동,"massive movement, massive exodus"
8,대통령,president of a country
9,떡,Korean rice cake
10,떡국,rice-cake soup
11,명절,traditional national holidays
12,민족,"people, nationality, ethnic group"
13,박물관,museum
14,반달,half-moon
15,법대,law school
16,복,"blessing, good fortune"
17,북한,North Korea
18,산꼭대기,"mountaintop, summit"
19,세배,formal bow of respect to one's elders on New Year's Day
20,세뱃돈,gift of money for New Year's bows
21,송편,rice cake steamed on a layer of pine needles
22,스페인어,Spanish
23,아무나,anybody
24,어린이,child
25,연휴,long holiday
26,요트,yacht
27,월급,salary
28,윷놀이,yut-nori (four-stick game)
29,의대,medical school
30,입장객,visitors to public places; attendance
31,입장료,admission fee
32,전국,whole country
33,조상,ancestor
34,차례,rites honoring ancestors
35,표정,"look, (facial) expression"
36,피크닉,picnic
37,행사,event(s)
38,휴지통,trashcan
39,국립 박물관,National Museum
40,민속촌,Minsok Ch'on
41,설,New Year's Day
42,추석,Chusok
43,모이다,to get together
44,밀리다,"to be delayed, be behind"
45,붐비다,to be crowded
46,빌리다,to borrow
47,생기다,to look
48,잃다,to lose
49,지각하다,to be late (for class)
50,챙기다,to remember and take something; to take care of
51,출근하다,to go to work
52,피하다,to avoid
53,합격하다,to pass an examination
54,한산하다,"to be almost empty; inactive, quiet"
55,힘이 없다,to be out of energy
56,서둘러,in a hurry
57,제대로,"appropriately, properly, as it should be"
58,에 대해서,"regarding, about"
59,~(으)면서,"while, even though"
0,2박3일,(staying for) three days and two nights
1,결혼식장,wedding hall
2,결혼식,"wedding, marriage ceremony"
3,남녀,"man and woman, both sexes"
4,문제,problem
5,미인,beautiful woman
6,반 (이상),(more than) half
7,별거,"special thing, rarity"
8,비용,expense; cost
9,살림,household
10,상다리,table legs
11,성격,personality
12,소,cow
13,신랑,"groom, newlywed husband"
14,신부,"bride, newlywed wife"
